contour_type,jitter,n_images,n_match,proportion_match,enrichment_TL,enrichment_TR,enrichment_BL,enrichment_BR,mean_highest_enrichment,mean_true_quadrant_enrichment
C,0,6,6,1.0,0.9653382463617657,0.9104107242878378,1.6879958810015898,0.920743559173156,1.6879958810015898,1.6879958810015898
C,10,6,6,1.0,0.9664149354651994,0.911214235897544,1.6518067645889485,0.921575947475362,1.6518067645889485,1.6518067645889485
C,20,6,6,1.0,0.9677973642256728,0.9118273658714345,1.6326642624814678,0.9222614959112478,1.6326642624814678,1.6326642624814678
C,30,6,6,1.0,0.9718142379741157,0.9145351317608664,1.5084797780416261,0.9255538403928072,1.5084797780416261,1.5084797780416261
C,40,6,6,1.0,0.9761508027708489,0.9161330957185437,1.3833058754976049,0.9287796234659741,1.3833058754976049,1.3833058754976049
C,50,6,6,1.0,0.9778539224729751,0.9163665545805789,1.3022529659101443,0.9286209226713217,1.3022529659101443,1.3022529659101443
straight,0,6,6,1.0,1.0459203528580459,0.8888987295743611,1.7848897029025392,0.9053959265524391,1.7848897029025392,1.7848897029025392
straight,10,6,6,1.0,1.0500055831137738,0.8903288938867222,1.6325857091975013,0.906837173930665,1.6325857091975013,1.6325857091975013
straight,20,6,6,1.0,1.0519963108246324,0.8906981909497639,1.5755938854958418,0.9072350714829817,1.5755938854958418,1.5755938854958418
straight,30,6,6,1.0,1.0554374008421856,0.8915512046630308,1.4816969152271335,0.9079677012627196,1.4816969152271335,1.4816969152271335
straight,40,6,6,1.0,1.060091849721782,0.8925251191765161,1.3875433654541858,0.90873495397968,1.3875433654541858,1.3875433654541858
straight,50,6,6,1.0,1.0591390950580764,0.8923934317390233,1.3231760849479823,0.9090468355991893,1.3231760849479823,1.3231760849479823
