channel,C,straight,C_minus_straight_enrichment,channel_class
36,6.093171982194837,4.409436187400257,1.6837357947945808,C_channel
78,3.4225768265869103,2.5339419573295845,0.8886348692573258,C_channel
26,2.963892219776668,2.1664872559891686,0.7974049637874994,C_channel
48,2.2859832415909462,1.518254162441624,0.7677290791493223,C_channel
23,3.2762553690008573,2.53521169032254,0.7410436786783174,C_channel
69,2.017224853699284,1.4682498369484887,0.5489750167507952,C_channel
51,1.9641154027533156,1.493774619112546,0.4703407836407696,C_channel
121,2.192946357201909,1.764369851278783,0.4285765059231259,C_channel
18,1.6592269179028167,1.255678407584313,0.4035485103185037,C_channel
74,2.2560029435134337,1.8644077146487787,0.3915952288646549,C_channel
60,1.539372791675303,1.148875392834093,0.39049739884121015,C_channel
97,1.8040450196886832,1.428850368702902,0.3751946509857813,C_channel
67,1.6117250365330236,1.242992273482097,0.3687327630509265,C_channel
75,1.908243616385702,1.5522315484510345,0.35601206793466744,C_channel
76,3.9896095595430956,3.6464277733822055,0.3431817861608901,C_channel
82,1.2174056536167694,0.8936548069996036,0.3237508466171658,C_channel
19,1.4302554291977634,1.1182374890257192,0.3120179401720442,C_channel
71,1.5482190957777238,1.2401603928050238,0.3080587029727,C_channel
127,1.0531329321998393,0.7479400716758848,0.30519286052395445,C_channel
43,2.536466514467251,2.2384534564827154,0.2980130579845355,C_channel
29,4.138311760069055,3.8416620032591573,0.29664975680989736,C_channel
115,1.2463706189698374,0.9529900455104136,0.2933805734594238,C_channel
64,2.7133112621198965,2.4353289995627145,0.27798226255718195,C_channel
65,1.6684593404872343,1.3977727757106846,0.27068656477654973,C_channel
87,2.407449770719563,2.1390616288090603,0.26838814191050275,C_channel
16,2.041840505382957,1.778970758612541,0.26286974677041597,C_channel
123,2.022627973878831,1.760846090593734,0.2617818832850969,C_channel
22,2.22314746062778,1.9709176305866631,0.25222983004111676,C_channel
95,0.9981271372492794,0.7467312398051636,0.2513958974441157,C_channel
102,1.7619529333745858,1.5134330171593362,0.2485199162152496,C_channel
37,1.2567305166516252,1.0231228483714234,0.23360766828020174,C_channel
109,1.3581323430259002,1.1461439591699127,0.2119883838559875,C_channel
