channel
98
56
92
27
101
107
0
86
79
124
96
8
103
44
49
30
59
15
116
31
100
114
88
17
11
106
5
90
4
81
33
111
34
39
83
24
125
66
85
52
10
12
25
63
9
110
40
28
7
68
91
47
14
112
20
72
89
61
50
94
1
62
41
118
53
99
84
