rank,filename,contour_type,layer,channel,mean_activation,mean_abs_activation,max_activation
1,straight_high_BL_0_J000_003.png,straight,h4_exc,26,555015.6,555015.6,1384194.8
2,straight_high_BL_0_J000_003.png,straight,h4_exc,282,489676.72,489676.72,1336236.4
3,straight_high_BL_0_J000_003.png,straight,h4_exc,39,358064.44,358064.44,840143.0
4,straight_high_BL_0_J000_003.png,straight,h4_exc,188,297473.16,297473.16,917238.25
5,straight_high_BL_0_J000_003.png,straight,h4_exc,30,288606.88,288606.88,833279.44
6,straight_high_BL_0_J000_003.png,straight,h4_exc,493,258503.12,258503.12,618013.9
7,straight_high_BL_0_J000_003.png,straight,h4_exc,158,217063.84,217063.84,542450.44
8,straight_high_BL_0_J000_003.png,straight,h4_exc,315,167159.45,167159.45,384163.03
9,straight_high_BL_0_J000_003.png,straight,h4_exc,137,152012.89,152012.89,358268.8
10,straight_high_BL_0_J000_003.png,straight,h4_exc,34,146270.78,146270.78,384539.25
11,straight_high_BL_0_J000_003.png,straight,h4_exc,233,108613.26,108613.26,305748.0
12,straight_high_BL_0_J000_003.png,straight,h4_exc,225,105313.5,105313.5,281297.6
13,straight_high_BL_0_J000_003.png,straight,h4_exc,121,101008.35,101008.35,268882.2
14,straight_high_BL_0_J000_003.png,straight,h4_exc,205,86533.12,86533.12,200475.73
15,straight_high_BL_0_J000_003.png,straight,h4_exc,247,68781.67,68781.67,215233.16
16,straight_high_BL_0_J000_003.png,straight,h4_exc,379,55178.746,55178.746,165125.7
17,straight_high_BL_0_J000_003.png,straight,h4_exc,193,54713.2,54713.2,153210.1
18,straight_high_BL_0_J000_003.png,straight,h4_exc,180,38177.13,38177.13,99707.28
19,straight_high_BL_0_J000_003.png,straight,h4_exc,146,34554.11,34554.11,222690.72
20,straight_high_BL_0_J000_003.png,straight,h4_exc,36,32740.268,32740.268,88322.02
21,straight_high_BL_0_J000_003.png,straight,h4_exc,22,27524.814,27524.814,104467.18
22,straight_high_BL_0_J000_003.png,straight,h4_exc,242,23263.275,23263.275,54738.81
23,straight_high_BL_0_J000_003.png,straight,h4_exc,112,22947.76,22947.76,76375.375
24,straight_high_BL_0_J000_003.png,straight,h4_exc,312,16415.709,16415.709,42674.637
25,straight_high_BL_0_J000_003.png,straight,h4_exc,295,15181.242,15181.242,52905.64
26,straight_high_BL_0_J000_003.png,straight,h4_exc,164,14499.085,14499.085,89538.82
27,straight_high_BL_0_J000_003.png,straight,h4_exc,169,13706.634,13706.634,39375.637
28,straight_high_BL_0_J000_003.png,straight,h4_exc,497,12484.901,12484.901,54287.383
29,straight_high_BL_0_J000_003.png,straight,h4_exc,229,10450.19,10450.19,34420.92
30,straight_high_BL_0_J000_003.png,straight,h4_exc,317,9552.271,9552.271,37448.668
31,straight_high_BL_0_J000_003.png,straight,h4_exc,101,8162.772,8162.772,22812.178
32,straight_high_BL_0_J000_003.png,straight,h4_exc,475,7377.302,7377.302,37460.86
33,straight_high_BL_0_J000_003.png,straight,h4_exc,458,7123.773,7123.773,31872.564
34,straight_high_BL_0_J000_003.png,straight,h4_exc,448,6996.6763,6996.6763,23175.072
35,straight_high_BL_0_J000_003.png,straight,h4_exc,92,6406.6855,6406.6855,24799.73
36,straight_high_BL_0_J000_003.png,straight,h4_exc,69,6154.477,6154.477,13629.478
37,straight_high_BL_0_J000_003.png,straight,h4_exc,171,5927.312,5927.312,17509.545
38,straight_high_BL_0_J000_003.png,straight,h4_exc,200,5855.198,5855.198,23897.37
39,straight_high_BL_0_J000_003.png,straight,h4_exc,86,5801.0723,5801.0723,18138.596
40,straight_high_BL_0_J000_003.png,straight,h4_exc,374,5737.209,5737.209,52134.957
41,straight_high_BL_0_J000_003.png,straight,h4_exc,420,4648.747,4648.747,11910.119
42,straight_high_BL_0_J000_003.png,straight,h4_exc,444,4272.7427,4272.7427,31665.543
43,straight_high_BL_0_J000_003.png,straight,h4_exc,116,4219.382,4219.382,18441.838
44,straight_high_BL_0_J000_003.png,straight,h4_exc,133,3857.1584,3857.1584,58737.375
45,straight_high_BL_0_J000_003.png,straight,h4_exc,443,3176.1094,3176.1094,11614.816
46,straight_high_BL_0_J000_003.png,straight,h4_exc,147,2887.708,2887.708,8618.968
47,straight_high_BL_0_J000_003.png,straight,h4_exc,287,2771.614,2771.614,20829.938
48,straight_high_BL_0_J000_003.png,straight,h4_exc,327,2178.396,2178.396,6019.8213
49,straight_high_BL_0_J000_003.png,straight,h4_exc,407,2102.8972,2102.8972,35090.08
50,straight_high_BL_0_J000_003.png,straight,h4_exc,89,1383.2699,1383.2699,5485.7305
51,straight_high_BL_0_J000_003.png,straight,h4_exc,362,1121.8754,1121.8754,2686.9019
52,straight_high_BL_0_J000_003.png,straight,h4_exc,499,845.5647,845.5647,2560.0815
53,straight_high_BL_0_J000_003.png,straight,h4_exc,11,832.9375,832.9375,11416.677
54,straight_high_BL_0_J000_003.png,straight,h4_exc,127,775.3237,775.3237,10216.804
55,straight_high_BL_0_J000_003.png,straight,h4_exc,402,700.2572,700.2572,26385.932
56,straight_high_BL_0_J000_003.png,straight,h4_exc,143,609.7838,609.7838,1129.2318
57,straight_high_BL_0_J000_003.png,straight,h4_exc,453,550.6648,550.6648,4866.706
58,straight_high_BL_0_J000_003.png,straight,h4_exc,142,438.2577,438.2577,10787.136
59,straight_high_BL_0_J000_003.png,straight,h4_exc,359,380.9971,380.9971,5982.5796
60,straight_high_BL_0_J000_003.png,straight,h4_exc,338,372.38647,372.38647,690.75665
61,straight_high_BL_0_J000_003.png,straight,h4_exc,196,365.308,365.308,666.5267
62,straight_high_BL_0_J000_003.png,straight,h4_exc,224,353.11777,353.11777,672.0584
63,straight_high_BL_0_J000_003.png,straight,h4_exc,485,352.27676,352.27676,6398.2847
64,straight_high_BL_0_J000_003.png,straight,h4_exc,50,334.19666,334.19666,3365.2136
65,straight_high_BL_0_J000_003.png,straight,h4_exc,61,324.06247,324.06247,610.58417
66,straight_high_BL_0_J000_003.png,straight,h4_exc,46,322.40652,322.40652,592.3371
67,straight_high_BL_0_J000_003.png,straight,h4_exc,467,316.64322,316.64322,609.4107
68,straight_high_BL_0_J000_003.png,straight,h4_exc,267,315.39307,315.39307,586.8487
69,straight_high_BL_0_J000_003.png,straight,h4_exc,275,311.6477,311.6477,6060.7905
70,straight_high_BL_0_J000_003.png,straight,h4_exc,99,301.02945,301.02945,2225.049
71,straight_high_BL_0_J000_003.png,straight,h4_exc,398,296.5968,296.5968,5806.244
72,straight_high_BL_0_J000_003.png,straight,h4_exc,465,276.76794,276.76794,518.59937
73,straight_high_BL_0_J000_003.png,straight,h4_exc,134,273.1387,273.1387,533.74835
74,straight_high_BL_0_J000_003.png,straight,h4_exc,47,264.33655,264.33655,1097.5046
75,straight_high_BL_0_J000_003.png,straight,h4_exc,246,262.24738,262.24738,489.14374
