rank,filename,contour_type,layer,channel,mean_activation,mean_abs_activation,max_activation
1,C_high_BL_0_J000_008.png,C,h1_exc,29,5.6762905,5.6762905,41.77797
2,C_high_BL_0_J000_008.png,C,h1_exc,25,5.0948906,5.0948906,34.772823
3,C_high_BL_0_J000_008.png,C,h1_exc,52,4.7834153,4.7834153,10.235479
4,C_high_BL_0_J000_008.png,C,h1_exc,7,4.584316,4.584316,28.954575
5,C_high_BL_0_J000_008.png,C,h1_exc,23,4.502274,4.502274,31.197199
6,C_high_BL_0_J000_008.png,C,h1_exc,78,4.4926977,4.4926977,29.388458
7,C_high_BL_0_J000_008.png,C,h1_exc,72,4.48773,4.48773,38.792793
8,C_high_BL_0_J000_008.png,C,h1_exc,102,4.45672,4.45672,29.259884
9,C_high_BL_0_J000_008.png,C,h1_exc,80,4.3864384,4.3864384,16.711567
10,C_high_BL_0_J000_008.png,C,h1_exc,65,4.3522005,4.3522005,18.640957
11,C_high_BL_0_J000_008.png,C,h1_exc,6,4.037657,4.037657,25.993872
12,C_high_BL_0_J000_008.png,C,h1_exc,98,3.8336499,3.8336499,43.305634
13,C_high_BL_0_J000_008.png,C,h1_exc,37,3.8179476,3.8179476,15.613758
14,C_high_BL_0_J000_008.png,C,h1_exc,92,3.7947793,3.7947793,24.361824
15,C_high_BL_0_J000_008.png,C,h1_exc,45,3.7933838,3.7933838,24.93701
16,C_high_BL_0_J000_008.png,C,h1_exc,28,3.5082831,3.5082831,16.63163
17,C_high_BL_0_J000_008.png,C,h1_exc,121,3.36665,3.36665,22.19862
18,C_high_BL_0_J000_008.png,C,h1_exc,82,3.287091,3.287091,39.32624
19,C_high_BL_0_J000_008.png,C,h1_exc,63,3.2442002,3.2442002,10.607123
20,C_high_BL_0_J000_008.png,C,h1_exc,108,3.2435513,3.2435513,7.9853487
21,C_high_BL_0_J000_008.png,C,h1_exc,48,3.2052953,3.2052953,18.099655
22,C_high_BL_0_J000_008.png,C,h1_exc,94,3.141241,3.141241,16.92307
23,C_high_BL_0_J000_008.png,C,h1_exc,64,3.1362367,3.1362367,23.384193
