rank,filename,contour_type,layer,channel,mean_activation,mean_abs_activation,max_activation
1,C_high_BL_0_J000_008.png,C,td_h3_exc,269,7.5589576,7.5589576,38.891712
2,C_high_BL_0_J000_008.png,C,td_h3_exc,143,7.062125,7.062125,36.66615
3,C_high_BL_0_J000_008.png,C,td_h3_exc,181,3.9810271,3.9810271,19.61248
4,C_high_BL_0_J000_008.png,C,td_h3_exc,427,3.9181805,3.9181805,18.503847
5,C_high_BL_0_J000_008.png,C,td_h3_exc,445,3.8262906,3.8262906,11.165046
6,C_high_BL_0_J000_008.png,C,td_h3_exc,431,3.418189,3.418189,15.494365
7,C_high_BL_0_J000_008.png,C,td_h3_exc,433,3.3536267,3.3536267,16.53392
8,C_high_BL_0_J000_008.png,C,td_h3_exc,329,3.343545,3.343545,13.958124
9,C_high_BL_0_J000_008.png,C,td_h3_exc,169,3.2978866,3.2978866,36.35058
10,C_high_BL_0_J000_008.png,C,td_h3_exc,461,3.2809424,3.2809424,15.39605
11,C_high_BL_0_J000_008.png,C,td_h3_exc,383,3.1221921,3.1221921,35.663128
12,C_high_BL_0_J000_008.png,C,td_h3_exc,117,2.2602715,2.2602715,7.206226
13,C_high_BL_0_J000_008.png,C,td_h3_exc,359,2.2517614,2.2517614,10.0295725
14,C_high_BL_0_J000_008.png,C,td_h3_exc,239,2.1385524,2.1385524,6.561086
15,C_high_BL_0_J000_008.png,C,td_h3_exc,426,2.0944464,2.0944464,8.059225
16,C_high_BL_0_J000_008.png,C,td_h3_exc,292,1.9731258,1.9731258,15.267408
17,C_high_BL_0_J000_008.png,C,td_h3_exc,502,1.9470714,1.9470714,14.802281
18,C_high_BL_0_J000_008.png,C,td_h3_exc,94,1.8929341,1.8929341,3.2705183
19,C_high_BL_0_J000_008.png,C,td_h3_exc,156,1.7981862,1.7981862,5.301931
20,C_high_BL_0_J000_008.png,C,td_h3_exc,403,1.7742862,1.7742862,7.003337
21,C_high_BL_0_J000_008.png,C,td_h3_exc,504,1.5755457,1.5755457,5.6593523
22,C_high_BL_0_J000_008.png,C,td_h3_exc,140,1.5754627,1.5754627,7.7243814
23,C_high_BL_0_J000_008.png,C,td_h3_exc,2,1.5744487,1.5744487,4.7186413
24,C_high_BL_0_J000_008.png,C,td_h3_exc,216,1.520784,1.520784,2.6911721
25,C_high_BL_0_J000_008.png,C,td_h3_exc,17,1.4728253,1.4728253,11.387533
