rank,filename,contour_type,layer,channel,mean_activation,mean_abs_activation,max_activation
1,C_high_BL_0_J000_008.png,C,h3_exc,54,723.5248,723.5248,1717.2903
2,C_high_BL_0_J000_008.png,C,h3_exc,226,563.5364,563.5364,1687.9713
3,C_high_BL_0_J000_008.png,C,h3_exc,246,462.51773,462.51773,1453.1699
4,C_high_BL_0_J000_008.png,C,h3_exc,14,458.8126,458.8126,1610.7415
5,C_high_BL_0_J000_008.png,C,h3_exc,51,431.6617,431.6617,1123.7856
6,C_high_BL_0_J000_008.png,C,h3_exc,389,426.16446,426.16446,1227.5406
7,C_high_BL_0_J000_008.png,C,h3_exc,420,402.95688,402.95688,1417.392
8,C_high_BL_0_J000_008.png,C,h3_exc,388,346.9291,346.9291,873.81177
9,C_high_BL_0_J000_008.png,C,h3_exc,280,324.07355,324.07355,715.71655
10,C_high_BL_0_J000_008.png,C,h3_exc,485,307.64832,307.64832,854.87384
11,C_high_BL_0_J000_008.png,C,h3_exc,26,304.25623,304.25623,1124.2228
12,C_high_BL_0_J000_008.png,C,h3_exc,435,303.2739,303.2739,953.5605
13,C_high_BL_0_J000_008.png,C,h3_exc,133,287.68475,287.68475,1219.6062
14,C_high_BL_0_J000_008.png,C,h3_exc,476,200.98544,200.98544,931.1965
15,C_high_BL_0_J000_008.png,C,h3_exc,373,199.10266,199.10266,1200.864
16,C_high_BL_0_J000_008.png,C,h3_exc,385,194.89641,194.89641,701.09534
17,C_high_BL_0_J000_008.png,C,h3_exc,311,185.56596,185.56596,793.263
18,C_high_BL_0_J000_008.png,C,h3_exc,184,179.49947,179.49947,573.66675
19,C_high_BL_0_J000_008.png,C,h3_exc,487,178.6459,178.6459,632.1446
20,C_high_BL_0_J000_008.png,C,h3_exc,39,178.20723,178.20723,475.9357
21,C_high_BL_0_J000_008.png,C,h3_exc,341,168.14357,168.14357,644.484
22,C_high_BL_0_J000_008.png,C,h3_exc,383,168.10532,168.10532,1212.4314
23,C_high_BL_0_J000_008.png,C,h3_exc,66,163.95761,163.95761,500.80078
24,C_high_BL_0_J000_008.png,C,h3_exc,480,148.03996,148.03996,395.55853
25,C_high_BL_0_J000_008.png,C,h3_exc,453,141.4181,141.4181,635.52704
26,C_high_BL_0_J000_008.png,C,h3_exc,292,137.8742,137.8742,697.07263
27,C_high_BL_0_J000_008.png,C,h3_exc,236,129.71179,129.71179,476.9572
28,C_high_BL_0_J000_008.png,C,h3_exc,263,128.17444,128.17444,705.39764
