rank,filename,contour_type,layer,channel,mean_activation,mean_abs_activation,max_activation
1,C_high_BL_0_J000_008.png,C,td_h0_exc,45,6.0850987,6.0850987,83.182304
2,C_high_BL_0_J000_008.png,C,td_h0_exc,62,5.6602583,5.6602583,125.1198
3,C_high_BL_0_J000_008.png,C,td_h0_exc,12,5.540031,5.540031,98.63218
4,C_high_BL_0_J000_008.png,C,td_h0_exc,7,5.3609076,5.3609076,84.881065
5,C_high_BL_0_J000_008.png,C,td_h0_exc,44,4.827136,4.827136,42.95559
6,C_high_BL_0_J000_008.png,C,td_h0_exc,2,4.823233,4.823233,81.55018
7,C_high_BL_0_J000_008.png,C,td_h0_exc,1,4.642446,4.642446,53.294956
8,C_high_BL_0_J000_008.png,C,td_h0_exc,50,4.5391636,4.5391636,16.753174
9,C_high_BL_0_J000_008.png,C,td_h0_exc,31,4.437243,4.437243,20.280066
10,C_high_BL_0_J000_008.png,C,td_h0_exc,59,4.3747044,4.3747044,50.706345
11,C_high_BL_0_J000_008.png,C,td_h0_exc,53,4.2641077,4.2641077,116.11304
12,C_high_BL_0_J000_008.png,C,td_h0_exc,32,4.2550297,4.2550297,99.06848
13,C_high_BL_0_J000_008.png,C,td_h0_exc,26,4.1354933,4.1354933,67.55378
14,C_high_BL_0_J000_008.png,C,td_h0_exc,55,4.0128036,4.0128036,52.29485
15,C_high_BL_0_J000_008.png,C,td_h0_exc,21,4.012522,4.012522,57.053642
16,C_high_BL_0_J000_008.png,C,td_h0_exc,24,3.9924412,3.9924412,38.19451
17,C_high_BL_0_J000_008.png,C,td_h0_exc,4,3.6559472,3.6559472,49.41427
18,C_high_BL_0_J000_008.png,C,td_h0_exc,54,3.5929885,3.5929885,19.477932
19,C_high_BL_0_J000_008.png,C,td_h0_exc,61,3.4683402,3.4683402,40.317863
20,C_high_BL_0_J000_008.png,C,td_h0_exc,39,3.3733485,3.3733485,20.976276
21,C_high_BL_0_J000_008.png,C,td_h0_exc,47,3.357251,3.357251,19.96747
22,C_high_BL_0_J000_008.png,C,td_h0_exc,10,3.3455243,3.3455243,36.032894
23,C_high_BL_0_J000_008.png,C,td_h0_exc,36,3.2078576,3.2078576,32.933067
24,C_high_BL_0_J000_008.png,C,td_h0_exc,11,3.1810486,3.1810486,15.63941
25,C_high_BL_0_J000_008.png,C,td_h0_exc,17,2.993431,2.993431,118.44295
26,C_high_BL_0_J000_008.png,C,td_h0_exc,33,2.9040976,2.9040976,33.56434
27,C_high_BL_0_J000_008.png,C,td_h0_exc,9,2.850627,2.850627,22.913101
28,C_high_BL_0_J000_008.png,C,td_h0_exc,27,2.5539737,2.5539737,12.168935
29,C_high_BL_0_J000_008.png,C,td_h0_exc,28,2.4804783,2.4804783,24.529991
30,C_high_BL_0_J000_008.png,C,td_h0_exc,22,2.2101846,2.2101846,13.359901
31,C_high_BL_0_J000_008.png,C,td_h0_exc,18,2.150456,2.150456,14.189563
32,C_high_BL_0_J000_008.png,C,td_h0_exc,42,1.7248465,1.7248465,15.454464
33,C_high_BL_0_J000_008.png,C,td_h0_exc,5,0.9068015,0.9068015,22.350481
34,C_high_BL_0_J000_008.png,C,td_h0_exc,16,0.8943689,0.8943689,9.948241
35,C_high_BL_0_J000_008.png,C,td_h0_exc,48,0.85240847,0.85240847,14.571482
36,C_high_BL_0_J000_008.png,C,td_h0_exc,30,0.8327358,0.8327358,6.758576
37,C_high_BL_0_J000_008.png,C,td_h0_exc,56,0.7907178,0.7907178,33.75759
38,C_high_BL_0_J000_008.png,C,td_h0_exc,52,0.78616965,0.78616965,3.8943007
39,C_high_BL_0_J000_008.png,C,td_h0_exc,14,0.78075564,0.78075564,17.354033
40,C_high_BL_0_J000_008.png,C,td_h0_exc,15,0.7273454,0.7273454,9.480948
41,C_high_BL_0_J000_008.png,C,td_h0_exc,43,0.7162356,0.7162356,8.6918125
42,C_high_BL_0_J000_008.png,C,td_h0_exc,35,0.691369,0.691369,24.977055
43,C_high_BL_0_J000_008.png,C,td_h0_exc,6,0.6767105,0.6767105,7.1310663
44,C_high_BL_0_J000_008.png,C,td_h0_exc,46,0.5853553,0.5853553,7.4282665
45,C_high_BL_0_J000_008.png,C,td_h0_exc,58,0.5694139,0.5694139,3.5308537
46,C_high_BL_0_J000_008.png,C,td_h0_exc,41,0.56734437,0.56734437,2.643174
47,C_high_BL_0_J000_008.png,C,td_h0_exc,8,0.5472755,0.5472755,2.85501
48,C_high_BL_0_J000_008.png,C,td_h0_exc,25,0.53697336,0.53697336,2.4797144
49,C_high_BL_0_J000_008.png,C,td_h0_exc,13,0.53231806,0.53231806,5.8885
50,C_high_BL_0_J000_008.png,C,td_h0_exc,60,0.5226535,0.5226535,4.6934414
51,C_high_BL_0_J000_008.png,C,td_h0_exc,23,0.517344,0.517344,9.343375
52,C_high_BL_0_J000_008.png,C,td_h0_exc,19,0.4100919,0.4100919,0.77021307
53,C_high_BL_0_J000_008.png,C,td_h0_exc,49,0.3963751,0.3963751,6.3988266
54,C_high_BL_0_J000_008.png,C,td_h0_exc,57,0.3947481,0.3947481,6.058973
55,C_high_BL_0_J000_008.png,C,td_h0_exc,20,0.38652185,0.38652185,6.6768374
56,C_high_BL_0_J000_008.png,C,td_h0_exc,0,0.3729042,0.3729042,5.5032644
57,C_high_BL_0_J000_008.png,C,td_h0_exc,34,0.3333879,0.3333879,7.9932094
