rank,filename,contour_type,layer,channel,mean_activation,mean_abs_activation,max_activation
1,straight_high_BL_0_J000_003.png,straight,td_h1_exc,29,3.6105413,3.6105413,23.189178
2,straight_high_BL_0_J000_003.png,straight,td_h1_exc,23,2.945491,2.945491,29.07289
3,straight_high_BL_0_J000_003.png,straight,td_h1_exc,102,2.7924,2.7924,18.23425
4,straight_high_BL_0_J000_003.png,straight,td_h1_exc,7,2.6574273,2.6574273,16.446054
5,straight_high_BL_0_J000_003.png,straight,td_h1_exc,78,2.4389963,2.4389963,23.654621
6,straight_high_BL_0_J000_003.png,straight,td_h1_exc,92,2.2773886,2.2773886,18.063192
7,straight_high_BL_0_J000_003.png,straight,td_h1_exc,65,2.1400785,2.1400785,9.166523
8,straight_high_BL_0_J000_003.png,straight,td_h1_exc,25,2.1383376,2.1383376,20.542715
9,straight_high_BL_0_J000_003.png,straight,td_h1_exc,62,2.064972,2.064972,8.57113
10,straight_high_BL_0_J000_003.png,straight,td_h1_exc,28,2.0489058,2.0489058,11.317036
11,straight_high_BL_0_J000_003.png,straight,td_h1_exc,105,2.0178685,2.0178685,9.2714405
12,straight_high_BL_0_J000_003.png,straight,td_h1_exc,61,1.9655228,1.9655228,24.809965
13,straight_high_BL_0_J000_003.png,straight,td_h1_exc,80,1.9328454,1.9328454,12.369021
14,straight_high_BL_0_J000_003.png,straight,td_h1_exc,0,1.8785309,1.8785309,21.524912
15,straight_high_BL_0_J000_003.png,straight,td_h1_exc,72,1.7069904,1.7069904,26.380774
16,straight_high_BL_0_J000_003.png,straight,td_h1_exc,121,1.7021312,1.7021312,14.890185
17,straight_high_BL_0_J000_003.png,straight,td_h1_exc,22,1.6526412,1.6526412,6.855822
18,straight_high_BL_0_J000_003.png,straight,td_h1_exc,45,1.6429002,1.6429002,11.67812
19,straight_high_BL_0_J000_003.png,straight,td_h1_exc,6,1.6105193,1.6105193,17.6918
20,straight_high_BL_0_J000_003.png,straight,td_h1_exc,20,1.5571774,1.5571774,10.425697
21,straight_high_BL_0_J000_003.png,straight,td_h1_exc,64,1.454537,1.454537,13.619179
22,straight_high_BL_0_J000_003.png,straight,td_h1_exc,21,1.4403149,1.4403149,16.935102
23,straight_high_BL_0_J000_003.png,straight,td_h1_exc,94,1.436625,1.436625,7.952068
24,straight_high_BL_0_J000_003.png,straight,td_h1_exc,82,1.4306599,1.4306599,36.061913
25,straight_high_BL_0_J000_003.png,straight,td_h1_exc,4,1.4091855,1.4091855,6.0415654
26,straight_high_BL_0_J000_003.png,straight,td_h1_exc,13,1.3856573,1.3856573,15.710601
27,straight_high_BL_0_J000_003.png,straight,td_h1_exc,93,1.3422949,1.3422949,6.034966
28,straight_high_BL_0_J000_003.png,straight,td_h1_exc,49,1.3298169,1.3298169,13.679598
29,straight_high_BL_0_J000_003.png,straight,td_h1_exc,54,1.3110187,1.3110187,17.483229
30,straight_high_BL_0_J000_003.png,straight,td_h1_exc,63,1.3012793,1.3012793,4.1373057
31,straight_high_BL_0_J000_003.png,straight,td_h1_exc,11,1.2886951,1.2886951,98.21971
32,straight_high_BL_0_J000_003.png,straight,td_h1_exc,1,1.2841269,1.2841269,6.3954587
33,straight_high_BL_0_J000_003.png,straight,td_h1_exc,90,1.2726007,1.2726007,10.22174
34,straight_high_BL_0_J000_003.png,straight,td_h1_exc,40,1.267702,1.267702,7.9983745
35,straight_high_BL_0_J000_003.png,straight,td_h1_exc,108,1.2603197,1.2603197,3.435362
36,straight_high_BL_0_J000_003.png,straight,td_h1_exc,57,1.2479783,1.2479783,7.886666
37,straight_high_BL_0_J000_003.png,straight,td_h1_exc,83,1.2477793,1.2477793,6.360713
38,straight_high_BL_0_J000_003.png,straight,td_h1_exc,26,1.2436048,1.2436048,11.430849
39,straight_high_BL_0_J000_003.png,straight,td_h1_exc,41,1.2098743,1.2098743,5.4513226
40,straight_high_BL_0_J000_003.png,straight,td_h1_exc,58,1.2020589,1.2020589,3.3326523
41,straight_high_BL_0_J000_003.png,straight,td_h1_exc,96,1.2003453,1.2003453,5.884879
42,straight_high_BL_0_J000_003.png,straight,td_h1_exc,37,1.1238755,1.1238755,7.1672835
43,straight_high_BL_0_J000_003.png,straight,td_h1_exc,48,1.0673196,1.0673196,11.224091
44,straight_high_BL_0_J000_003.png,straight,td_h1_exc,84,1.0619786,1.0619786,8.190583
45,straight_high_BL_0_J000_003.png,straight,td_h1_exc,2,1.0203745,1.0203745,6.1168623
46,straight_high_BL_0_J000_003.png,straight,td_h1_exc,35,0.9981472,0.9981472,28.380323
47,straight_high_BL_0_J000_003.png,straight,td_h1_exc,24,0.9794638,0.9794638,3.3142169
48,straight_high_BL_0_J000_003.png,straight,td_h1_exc,55,0.9760576,0.9760576,5.7451134
49,straight_high_BL_0_J000_003.png,straight,td_h1_exc,15,0.97271055,0.97271055,1.8884017
50,straight_high_BL_0_J000_003.png,straight,td_h1_exc,36,0.96138465,0.96138465,5.957862
51,straight_high_BL_0_J000_003.png,straight,td_h1_exc,50,0.9566459,0.9566459,6.850294
52,straight_high_BL_0_J000_003.png,straight,td_h1_exc,98,0.9500964,0.9500964,32.567966
53,straight_high_BL_0_J000_003.png,straight,td_h1_exc,47,0.93617976,0.93617976,4.460825
54,straight_high_BL_0_J000_003.png,straight,td_h1_exc,99,0.9348888,0.9348888,7.386066
55,straight_high_BL_0_J000_003.png,straight,td_h1_exc,113,0.91457856,0.91457856,62.52048
56,straight_high_BL_0_J000_003.png,straight,td_h1_exc,110,0.9096138,0.9096138,9.276118
57,straight_high_BL_0_J000_003.png,straight,td_h1_exc,17,0.90076673,0.90076673,4.7808113
58,straight_high_BL_0_J000_003.png,straight,td_h1_exc,43,0.8769221,0.8769221,3.7850363
59,straight_high_BL_0_J000_003.png,straight,td_h1_exc,88,0.86584234,0.86584234,2.8917162
60,straight_high_BL_0_J000_003.png,straight,td_h1_exc,86,0.83168024,0.83168024,18.920475
61,straight_high_BL_0_J000_003.png,straight,td_h1_exc,14,0.8154979,0.8154979,3.8731441
62,straight_high_BL_0_J000_003.png,straight,td_h1_exc,79,0.81380427,0.81380427,22.657057
63,straight_high_BL_0_J000_003.png,straight,td_h1_exc,95,0.81244874,0.81244874,3.6007495
