rank,filename,contour_type,layer,channel,mean_activation,mean_abs_activation,max_activation
99,C_high_BL_0_J000_008.png,C,td_h1_exc,87,0.5474106,0.5474106,1.6455643
100,C_high_BL_0_J000_008.png,C,td_h1_exc,77,0.54068714,0.54068714,2.0775733
101,C_high_BL_0_J000_008.png,C,td_h1_exc,117,0.53143054,0.53143054,0.83510953
102,C_high_BL_0_J000_008.png,C,td_h1_exc,56,0.51015186,0.51015186,2.2513344
103,C_high_BL_0_J000_008.png,C,td_h1_exc,34,0.50359696,0.50359696,0.98869497
104,C_high_BL_0_J000_008.png,C,td_h1_exc,46,0.50298876,0.50298876,2.992656
105,C_high_BL_0_J000_008.png,C,td_h1_exc,106,0.49506387,0.49506387,3.69462
106,C_high_BL_0_J000_008.png,C,td_h1_exc,111,0.4939019,0.4939019,4.223054
107,C_high_BL_0_J000_008.png,C,td_h1_exc,125,0.48511738,0.48511738,8.053382
108,C_high_BL_0_J000_008.png,C,td_h1_exc,76,0.47452658,0.47452658,6.243603
109,C_high_BL_0_J000_008.png,C,td_h1_exc,115,0.46322763,0.46322763,2.4297543
110,C_high_BL_0_J000_008.png,C,td_h1_exc,119,0.45762378,0.45762378,11.277182
111,C_high_BL_0_J000_008.png,C,td_h1_exc,67,0.4290658,0.4290658,0.90485835
112,C_high_BL_0_J000_008.png,C,td_h1_exc,112,0.40949354,0.40949354,2.1769173
113,C_high_BL_0_J000_008.png,C,td_h1_exc,127,0.39284396,0.39284396,2.9423401
114,C_high_BL_0_J000_008.png,C,td_h1_exc,69,0.36741722,0.36741722,3.4804883
115,C_high_BL_0_J000_008.png,C,td_h1_exc,9,0.36015403,0.36015403,1.4833566
116,C_high_BL_0_J000_008.png,C,td_h1_exc,33,0.3592943,0.3592943,1.1322079
117,C_high_BL_0_J000_008.png,C,td_h1_exc,116,0.3484297,0.3484297,6.039113
118,C_high_BL_0_J000_008.png,C,td_h1_exc,109,0.34088022,0.34088022,0.869053
119,C_high_BL_0_J000_008.png,C,td_h1_exc,30,0.33852157,0.33852157,1.03297
120,C_high_BL_0_J000_008.png,C,td_h1_exc,19,0.31173122,0.31173122,1.3888911
121,C_high_BL_0_J000_008.png,C,td_h1_exc,120,0.2948612,0.2948612,0.88450944
122,C_high_BL_0_J000_008.png,C,td_h1_exc,59,0.269144,0.269144,1.0128207
123,C_high_BL_0_J000_008.png,C,td_h1_exc,73,0.253515,0.253515,0.6000865
124,C_high_BL_0_J000_008.png,C,td_h1_exc,103,0.24128988,0.24128988,0.43667656
125,C_high_BL_0_J000_008.png,C,td_h1_exc,5,0.23129529,0.23129529,2.85201
126,C_high_BL_0_J000_008.png,C,td_h1_exc,70,0.21200067,0.21200067,1.5054764
127,C_high_BL_0_J000_008.png,C,td_h1_exc,32,0.2008977,0.2008977,0.49088037
128,C_high_BL_0_J000_008.png,C,td_h1_exc,44,0.18994552,0.18994552,4.854752
