rank,filename,contour_type,layer,channel,mean_activation,mean_abs_activation,max_activation
1,straight_high_BL_0_J000_003.png,straight,td_h0_exc,45,6.0637417,6.0637417,131.6066
2,straight_high_BL_0_J000_003.png,straight,td_h0_exc,62,5.6527576,5.6527576,246.36246
3,straight_high_BL_0_J000_003.png,straight,td_h0_exc,12,5.549065,5.549065,242.08618
4,straight_high_BL_0_J000_003.png,straight,td_h0_exc,7,5.347639,5.347639,160.42072
5,straight_high_BL_0_J000_003.png,straight,td_h0_exc,2,4.8533125,4.8533125,145.43657
6,straight_high_BL_0_J000_003.png,straight,td_h0_exc,44,4.798007,4.798007,77.51492
7,straight_high_BL_0_J000_003.png,straight,td_h0_exc,1,4.6399674,4.6399674,104.0139
8,straight_high_BL_0_J000_003.png,straight,td_h0_exc,50,4.606321,4.606321,29.307293
9,straight_high_BL_0_J000_003.png,straight,td_h0_exc,31,4.4529867,4.4529867,20.754425
10,straight_high_BL_0_J000_003.png,straight,td_h0_exc,59,4.3771086,4.3771086,121.89862
11,straight_high_BL_0_J000_003.png,straight,td_h0_exc,53,4.2755632,4.2755632,247.55847
12,straight_high_BL_0_J000_003.png,straight,td_h0_exc,32,4.2303853,4.2303853,190.23683
13,straight_high_BL_0_J000_003.png,straight,td_h0_exc,26,4.1189723,4.1189723,102.5206
14,straight_high_BL_0_J000_003.png,straight,td_h0_exc,55,4.0254602,4.0254602,94.48455
15,straight_high_BL_0_J000_003.png,straight,td_h0_exc,21,4.0013313,4.0013313,79.658585
16,straight_high_BL_0_J000_003.png,straight,td_h0_exc,24,3.9977179,3.9977179,70.0164
17,straight_high_BL_0_J000_003.png,straight,td_h0_exc,4,3.6781151,3.6781151,79.20762
18,straight_high_BL_0_J000_003.png,straight,td_h0_exc,54,3.614938,3.614938,21.438503
19,straight_high_BL_0_J000_003.png,straight,td_h0_exc,61,3.5104635,3.5104635,66.57949
20,straight_high_BL_0_J000_003.png,straight,td_h0_exc,10,3.3872678,3.3872678,78.822624
21,straight_high_BL_0_J000_003.png,straight,td_h0_exc,47,3.3829434,3.3829434,22.566242
22,straight_high_BL_0_J000_003.png,straight,td_h0_exc,39,3.374112,3.374112,22.20245
23,straight_high_BL_0_J000_003.png,straight,td_h0_exc,36,3.236917,3.236917,42.12043
24,straight_high_BL_0_J000_003.png,straight,td_h0_exc,11,3.1995745,3.1995745,20.954573
25,straight_high_BL_0_J000_003.png,straight,td_h0_exc,17,3.0111432,3.0111432,139.19342
26,straight_high_BL_0_J000_003.png,straight,td_h0_exc,33,2.90231,2.90231,71.273895
27,straight_high_BL_0_J000_003.png,straight,td_h0_exc,9,2.8636696,2.8636696,43.0344
28,straight_high_BL_0_J000_003.png,straight,td_h0_exc,27,2.584631,2.584631,27.594265
29,straight_high_BL_0_J000_003.png,straight,td_h0_exc,28,2.4762237,2.4762237,71.493614
30,straight_high_BL_0_J000_003.png,straight,td_h0_exc,22,2.2379386,2.2379386,33.740788
31,straight_high_BL_0_J000_003.png,straight,td_h0_exc,18,2.1646225,2.1646225,20.316338
32,straight_high_BL_0_J000_003.png,straight,td_h0_exc,42,1.7576283,1.7576283,17.890438
33,straight_high_BL_0_J000_003.png,straight,td_h0_exc,5,0.9151464,0.9151464,28.298294
34,straight_high_BL_0_J000_003.png,straight,td_h0_exc,16,0.8925774,0.8925774,9.542915
35,straight_high_BL_0_J000_003.png,straight,td_h0_exc,48,0.86194336,0.86194336,13.359755
36,straight_high_BL_0_J000_003.png,straight,td_h0_exc,30,0.83918434,0.83918434,7.032417
37,straight_high_BL_0_J000_003.png,straight,td_h0_exc,56,0.7951168,0.7951168,39.006096
38,straight_high_BL_0_J000_003.png,straight,td_h0_exc,52,0.7875736,0.7875736,4.1110244
39,straight_high_BL_0_J000_003.png,straight,td_h0_exc,14,0.7739145,0.7739145,15.607834
40,straight_high_BL_0_J000_003.png,straight,td_h0_exc,15,0.73976165,0.73976165,7.8605967
41,straight_high_BL_0_J000_003.png,straight,td_h0_exc,43,0.71924955,0.71924955,9.330164
42,straight_high_BL_0_J000_003.png,straight,td_h0_exc,35,0.685916,0.685916,26.401415
43,straight_high_BL_0_J000_003.png,straight,td_h0_exc,6,0.6777839,0.6777839,9.205096
44,straight_high_BL_0_J000_003.png,straight,td_h0_exc,46,0.57738584,0.57738584,8.315897
45,straight_high_BL_0_J000_003.png,straight,td_h0_exc,58,0.56801414,0.56801414,3.9584897
46,straight_high_BL_0_J000_003.png,straight,td_h0_exc,41,0.5555183,0.5555183,2.6448283
47,straight_high_BL_0_J000_003.png,straight,td_h0_exc,8,0.5494388,0.5494388,3.0775237
48,straight_high_BL_0_J000_003.png,straight,td_h0_exc,13,0.53258365,0.53258365,7.8996954
49,straight_high_BL_0_J000_003.png,straight,td_h0_exc,25,0.52955985,0.52955985,2.4537635
50,straight_high_BL_0_J000_003.png,straight,td_h0_exc,60,0.52624685,0.52624685,4.8004165
51,straight_high_BL_0_J000_003.png,straight,td_h0_exc,23,0.51946753,0.51946753,25.962788
52,straight_high_BL_0_J000_003.png,straight,td_h0_exc,19,0.41002712,0.41002712,0.79851687
53,straight_high_BL_0_J000_003.png,straight,td_h0_exc,57,0.39989457,0.39989457,7.640119
54,straight_high_BL_0_J000_003.png,straight,td_h0_exc,49,0.39801487,0.39801487,6.69897
55,straight_high_BL_0_J000_003.png,straight,td_h0_exc,20,0.38759065,0.38759065,6.3979735
56,straight_high_BL_0_J000_003.png,straight,td_h0_exc,0,0.37055692,0.37055692,8.780724
57,straight_high_BL_0_J000_003.png,straight,td_h0_exc,34,0.33428496,0.33428496,15.773284
58,straight_high_BL_0_J000_003.png,straight,td_h0_exc,3,0.19558996,0.19558996,1.446678
59,straight_high_BL_0_J000_003.png,straight,td_h0_exc,37,0.18476355,0.18476355,1.0279274
60,straight_high_BL_0_J000_003.png,straight,td_h0_exc,63,0.17484812,0.17484812,2.3774781
61,straight_high_BL_0_J000_003.png,straight,td_h0_exc,38,0.16931267,0.16931267,1.0184697
62,straight_high_BL_0_J000_003.png,straight,td_h0_exc,40,0.16684934,0.16684934,2.3018317
63,straight_high_BL_0_J000_003.png,straight,td_h0_exc,51,0.15343796,0.15343796,2.436344
64,straight_high_BL_0_J000_003.png,straight,td_h0_exc,29,0.13151358,0.13151358,1.128166
