rank,filename,contour_type,layer,channel,mean_activation,mean_abs_activation,max_activation
1,straight_high_BL_0_J000_003.png,straight,td_h3_exc,269,7.858278,7.858278,38.533627
2,straight_high_BL_0_J000_003.png,straight,td_h3_exc,143,7.3422256,7.3422256,37.06086
3,straight_high_BL_0_J000_003.png,straight,td_h3_exc,181,4.149646,4.149646,18.802322
4,straight_high_BL_0_J000_003.png,straight,td_h3_exc,427,4.0051126,4.0051126,17.992817
5,straight_high_BL_0_J000_003.png,straight,td_h3_exc,445,3.8614197,3.8614197,10.946978
6,straight_high_BL_0_J000_003.png,straight,td_h3_exc,431,3.490155,3.490155,15.347208
7,straight_high_BL_0_J000_003.png,straight,td_h3_exc,433,3.4440296,3.4440296,16.064646
8,straight_high_BL_0_J000_003.png,straight,td_h3_exc,461,3.4092333,3.4092333,16.769384
9,straight_high_BL_0_J000_003.png,straight,td_h3_exc,329,3.3830214,3.3830214,13.544411
10,straight_high_BL_0_J000_003.png,straight,td_h3_exc,169,3.1844141,3.1844141,24.435772
11,straight_high_BL_0_J000_003.png,straight,td_h3_exc,383,3.0249612,3.0249612,24.143955
12,straight_high_BL_0_J000_003.png,straight,td_h3_exc,359,2.306755,2.306755,9.916349
13,straight_high_BL_0_J000_003.png,straight,td_h3_exc,117,2.2563336,2.2563336,7.006966
14,straight_high_BL_0_J000_003.png,straight,td_h3_exc,239,2.1526008,2.1526008,6.381799
15,straight_high_BL_0_J000_003.png,straight,td_h3_exc,426,2.1419926,2.1419926,8.211042
16,straight_high_BL_0_J000_003.png,straight,td_h3_exc,502,1.9482965,1.9482965,10.569639
17,straight_high_BL_0_J000_003.png,straight,td_h3_exc,292,1.9329903,1.9329903,10.704042
18,straight_high_BL_0_J000_003.png,straight,td_h3_exc,94,1.8930571,1.8930571,3.2442946
19,straight_high_BL_0_J000_003.png,straight,td_h3_exc,403,1.8183552,1.8183552,6.700137
20,straight_high_BL_0_J000_003.png,straight,td_h3_exc,156,1.8039274,1.8039274,5.205153
21,straight_high_BL_0_J000_003.png,straight,td_h3_exc,140,1.5969504,1.5969504,5.967
22,straight_high_BL_0_J000_003.png,straight,td_h3_exc,504,1.5924224,1.5924224,5.464824
23,straight_high_BL_0_J000_003.png,straight,td_h3_exc,2,1.5825871,1.5825871,4.6185555
24,straight_high_BL_0_J000_003.png,straight,td_h3_exc,216,1.5305221,1.5305221,2.5367465
25,straight_high_BL_0_J000_003.png,straight,td_h3_exc,17,1.453736,1.453736,7.776
26,straight_high_BL_0_J000_003.png,straight,td_h3_exc,218,1.3771564,1.3771564,3.1426291
27,straight_high_BL_0_J000_003.png,straight,td_h3_exc,245,1.3532758,1.3532758,3.2388024
28,straight_high_BL_0_J000_003.png,straight,td_h3_exc,5,1.350531,1.350531,3.5737362
29,straight_high_BL_0_J000_003.png,straight,td_h3_exc,447,1.3371843,1.3371843,3.2493544
30,straight_high_BL_0_J000_003.png,straight,td_h3_exc,98,1.3264488,1.3264488,3.710441
31,straight_high_BL_0_J000_003.png,straight,td_h3_exc,58,1.2813185,1.2813185,2.7856176
32,straight_high_BL_0_J000_003.png,straight,td_h3_exc,231,1.272126,1.272126,2.0136235
33,straight_high_BL_0_J000_003.png,straight,td_h3_exc,105,1.2659676,1.2659676,2.797276
34,straight_high_BL_0_J000_003.png,straight,td_h3_exc,78,1.2581524,1.2581524,3.6805017
35,straight_high_BL_0_J000_003.png,straight,td_h3_exc,498,1.2388173,1.2388173,2.8840091
36,straight_high_BL_0_J000_003.png,straight,td_h3_exc,391,1.2317526,1.2317526,2.4708061
37,straight_high_BL_0_J000_003.png,straight,td_h3_exc,182,1.2197969,1.2197969,3.4591594
38,straight_high_BL_0_J000_003.png,straight,td_h3_exc,303,1.2163278,1.2163278,5.5549974
39,straight_high_BL_0_J000_003.png,straight,td_h3_exc,429,1.2159134,1.2159134,2.2384722
40,straight_high_BL_0_J000_003.png,straight,td_h3_exc,324,1.1964335,1.1964335,2.1525116
41,straight_high_BL_0_J000_003.png,straight,td_h3_exc,248,1.1746225,1.1746225,4.493744
42,straight_high_BL_0_J000_003.png,straight,td_h3_exc,10,1.1670282,1.1670282,2.8364375
43,straight_high_BL_0_J000_003.png,straight,td_h3_exc,316,1.1622506,1.1622506,6.366164
44,straight_high_BL_0_J000_003.png,straight,td_h3_exc,203,1.1416506,1.1416506,2.6164312
45,straight_high_BL_0_J000_003.png,straight,td_h3_exc,397,1.1343147,1.1343147,3.3308387
46,straight_high_BL_0_J000_003.png,straight,td_h3_exc,436,1.1292628,1.1292628,1.9598787
47,straight_high_BL_0_J000_003.png,straight,td_h3_exc,289,1.1096379,1.1096379,2.070542
48,straight_high_BL_0_J000_003.png,straight,td_h3_exc,290,1.1059945,1.1059945,1.840928
49,straight_high_BL_0_J000_003.png,straight,td_h3_exc,260,1.0985991,1.0985991,3.1118731
50,straight_high_BL_0_J000_003.png,straight,td_h3_exc,79,1.0964687,1.0964687,1.7432748
51,straight_high_BL_0_J000_003.png,straight,td_h3_exc,362,1.0456299,1.0456299,3.1799817
52,straight_high_BL_0_J000_003.png,straight,td_h3_exc,313,1.0390548,1.0390548,2.6200902
53,straight_high_BL_0_J000_003.png,straight,td_h3_exc,175,1.033794,1.033794,2.2405474
54,straight_high_BL_0_J000_003.png,straight,td_h3_exc,138,1.0140755,1.0140755,2.2206175
55,straight_high_BL_0_J000_003.png,straight,td_h3_exc,101,0.9906299,0.9906299,2.3416622
56,straight_high_BL_0_J000_003.png,straight,td_h3_exc,417,0.9713388,0.9713388,1.8197726
57,straight_high_BL_0_J000_003.png,straight,td_h3_exc,372,0.9709845,0.9709845,2.1298532
58,straight_high_BL_0_J000_003.png,straight,td_h3_exc,400,0.96952474,0.96952474,2.5406313
59,straight_high_BL_0_J000_003.png,straight,td_h3_exc,339,0.9666216,0.9666216,1.7512959
60,straight_high_BL_0_J000_003.png,straight,td_h3_exc,449,0.9576928,0.9576928,2.593669
61,straight_high_BL_0_J000_003.png,straight,td_h3_exc,43,0.95398664,0.95398664,2.4928262
62,straight_high_BL_0_J000_003.png,straight,td_h3_exc,450,0.9458247,0.9458247,3.1349883
63,straight_high_BL_0_J000_003.png,straight,td_h3_exc,265,0.94575304,0.94575304,4.387259
64,straight_high_BL_0_J000_003.png,straight,td_h3_exc,233,0.93586487,0.93586487,2.758879
65,straight_high_BL_0_J000_003.png,straight,td_h3_exc,360,0.93411136,0.93411136,1.9208508
66,straight_high_BL_0_J000_003.png,straight,td_h3_exc,452,0.9182034,0.9182034,2.3020597
67,straight_high_BL_0_J000_003.png,straight,td_h3_exc,32,0.9140026,0.9140026,1.5953091
68,straight_high_BL_0_J000_003.png,straight,td_h3_exc,321,0.91188,0.91188,1.7302935
69,straight_high_BL_0_J000_003.png,straight,td_h3_exc,291,0.89018106,0.89018106,1.7983847
70,straight_high_BL_0_J000_003.png,straight,td_h3_exc,225,0.8820722,0.8820722,1.4365226
