contour_type,layer,n_channels,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_area_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation
C,h1_exc,3200,1.779861,0.021588523,2.8679974,0.03304438,1.6533203125,1.7346895202201358,0.019986676418294342,0.10770505836015194,0.0014451956277852507
C,td_h1_exc,3200,1.6089187,0.02186271,2.5946739,0.033967476,1.6533203125,1.5693715603952927,0.02054500540860659,0.09431217451092003,0.0015854321989864338
straight,h1_exc,3200,1.6388793,0.01980802,1.340247,0.015775824,0.8271484375000001,1.620322202641874,0.01907254160320127,0.05273117064391707,0.0008200187466197811
straight,td_h1_exc,3200,1.5166452,0.020901943,1.2399273,0.01675325,0.8271484375000001,1.4990384499626395,0.020254225200283884,0.04778017860441168,0.0009053059007303512
