filename,contour_type,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,rank_contour_enrichment
C_high_BL_0_J000_000.png,C,h1_exc,2,2.059445,1.0196774,2.0197024,3.2838528,1.6533203125,1.9862169302210655,42
C_high_BL_0_J000_000.png,C,h1_exc,75,1.8625323,0.94213426,1.9769287,3.2165442,1.6533203125,1.945505724167467,43
C_high_BL_0_J000_000.png,C,h1_exc,69,1.4210713,0.7232446,1.9648557,3.1975284,1.6533203125,1.934004148354724,44
C_high_BL_0_J000_000.png,C,h1_exc,54,2.8235505,1.4384793,1.9628718,3.1944032,1.6533203125,1.9321138971479055,45
C_high_BL_0_J000_000.png,C,h1_exc,89,2.5442505,1.3062514,1.9477495,3.1705728,1.6533203125,1.917700226975192,46
C_high_BL_0_J000_000.png,C,h1_exc,77,2.0525377,1.0667716,1.9240648,3.1332269,1.6533203125,1.8951118115772623,47
C_high_BL_0_J000_000.png,C,h1_exc,40,3.7458532,2.0544984,1.8232446,2.9739292,1.6533203125,1.7987616351905233,48
C_high_BL_0_J000_000.png,C,h1_exc,94,4.746135,2.6437101,1.7952555,2.9296136,1.6533203125,1.7719576481166,49
C_high_BL_0_J000_000.png,C,h1_exc,102,6.712798,3.791677,1.7704035,2.8902307,1.6533203125,1.748137137333329,50
C_high_BL_0_J000_000.png,C,h1_exc,27,2.984056,1.7089522,1.7461319,2.8517365,1.6533203125,1.724854226221939,51
C_high_BL_0_J000_000.png,C,h1_exc,93,2.4762547,1.4183316,1.7458926,2.8513567,1.6533203125,1.7246245061904726,52
C_high_BL_0_J000_000.png,C,h1_exc,83,2.9769976,1.7064872,1.744518,2.8491762,1.6533203125,1.7233055988409485,53
C_high_BL_0_J000_000.png,C,h1_exc,120,1.1594594,0.6673982,1.7372826,2.8376942,1.6533203125,1.7163607859122656,54
C_high_BL_0_J000_000.png,C,h1_exc,60,2.799371,1.6715996,1.6746659,2.7382162,1.6533203125,1.656192163408132,55
