contour_type,layer,timestep,mean_abs_activation,n_images
C,h0_exc,0,0.48095616698265076,26
C,h0_exc,1,0.7893253564834595,26
C,h0_exc,2,1.162967324256897,26
C,h0_exc,3,1.6499228477478027,26
C,h1_exc,0,0.4468519687652588,26
C,h1_exc,1,0.7116786241531372,26
C,h1_exc,2,0.9244697093963623,26
C,h1_exc,3,1.2132384777069092,26
C,h2_exc,0,0.5801987648010254,26
C,h2_exc,1,0.8183075189590454,26
C,h2_exc,2,1.1415678262710571,26
C,h2_exc,3,1.6945282220840454,26
C,h3_exc,0,0.6211875081062317,26
C,h3_exc,1,1.7368448972702026,26
C,h3_exc,2,5.980617046356201,26
C,h3_exc,3,21.93166732788086,26
C,h4_exc,0,0.4134390354156494,26
C,h4_exc,1,2.279432535171509,26
C,h4_exc,2,73.22097778320312,26
C,h4_exc,3,7137.24365234375,26
straight,h0_exc,0,0.481033056974411,26
straight,h0_exc,1,0.7894370555877686,26
straight,h0_exc,2,1.1631839275360107,26
straight,h0_exc,3,1.6504995822906494,26
straight,h1_exc,0,0.44706881046295166,26
straight,h1_exc,1,0.71185702085495,26
straight,h1_exc,2,0.9240111708641052,26
straight,h1_exc,3,1.2111310958862305,26
straight,h2_exc,0,0.5794031023979187,26
straight,h2_exc,1,0.8144703507423401,26
straight,h2_exc,2,1.1330904960632324,26
straight,h2_exc,3,1.6668204069137573,26
straight,h3_exc,0,0.6210978627204895,26
straight,h3_exc,1,1.7195138931274414,26
straight,h3_exc,2,5.89230489730835,26
straight,h3_exc,3,21.285432815551758,26
straight,h4_exc,0,0.41338562965393066,26
straight,h4_exc,1,2.195216655731201,26
straight,h4_exc,2,69.30014038085938,26
straight,h4_exc,3,6652.576171875,26
