filename,contour_type,contrast,quadrant,position,jitter,stimulus_id,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,dice_top_activation,top_activation_percentile
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,31,0.7681901,1.5586718,0.49284914,0.8186531,1.647186279296875,0.49700092333752177,0.0005240231880258985,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,32,0.77433014,0.780185,0.9924956,1.6350273,1.647186279296875,0.9926183213244805,0.024039563750688095,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,33,2.188388,1.7831483,1.2272608,2.0139878,1.647186279296875,1.2226836713636131,0.08299217240360168,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,34,0.7039614,1.1771361,0.5980289,0.9916308,1.647186279296875,0.6020149627648307,0.014083123178196023,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,35,1.0002365,1.635501,0.61157805,1.0138699,1.647186279296875,0.6155162219464131,0.018340811580906446,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,36,8.225099,1.1891775,6.916628,10.381243,1.647186279296875,6.3024096421459275,0.20527936071258096,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,37,3.133073,2.2781794,1.375253,2.2513816,1.647186279296875,1.366804501892089,0.050699243441505684,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,38,1.2230047,1.5970448,0.76579237,1.2662878,1.647186279296875,0.7687581009373478,0.009563423181472647,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,39,0.8193433,1.4265656,0.5743467,0.952736,1.647186279296875,0.5784021068405595,0.001441063767071221,90
C_BL_0_J000_000.png,C,NA,BL,0,0,0,h1_exc,40,3.7529316,2.0797446,1.8045156,2.933499,1.647186279296875,1.7809151987759095,0.09524121442370706,90
