condition,n_images,mean_activation,sem_activation,mean_max_activation,sem_max_activation
C_bias,25,2.5729182815551757,0.0009015953412933487,7.635209255218506,0.28031186984090767
baseline,25,2.1975239753723144,0.0008014372804011127,7.45831693649292,0.2852245134172114
straight_bias,25,2.599757528305054,0.0010926181044984787,8.173256378173829,0.2808785927131662
