image_index,filename,condition,bias_strength,layer,n_channels,mean_abs_activation,max_abs_activation,std_abs_activation,map_path
0,Noshape_000.png,baseline,0.0,h1_exc,128,2.198007106781006,9.404433250427246,0.4180174469947815,/home/yentl/pytorch_gammanet/outputs_noshape_bias_final/arrays/per_image_all_channel_maps/baseline/000_Noshape_000_baseline.npy
0,Noshape_000.png,C_bias,0.25,h1_exc,128,2.5741922855377197,8.995695114135742,0.44546258449554443,/home/yentl/pytorch_gammanet/outputs_noshape_bias_final/arrays/per_image_all_channel_maps/C_bias/000_Noshape_000_C_bias.npy
0,Noshape_000.png,straight_bias,0.25,h1_exc,128,2.6013617515563965,10.576227188110352,0.45197224617004395,/home/yentl/pytorch_gammanet/outputs_noshape_bias_final/arrays/per_image_all_channel_maps/straight_bias/000_Noshape_000_straight_bias.npy
1,Noshape_001.png,baseline,0.0,h1_exc,128,2.202263593673706,9.323847770690918,0.41421735286712646,/home/yentl/pytorch_gammanet/outputs_noshape_bias_final/arrays/per_image_all_channel_maps/baseline/001_Noshape_001_baseline.npy
1,Noshape_001.png,C_bias,0.25,h1_exc,128,2.5788707733154297,10.141436576843262,0.4310711622238159,/home/yentl/pytorch_gammanet/outputs_noshape_bias_final/arrays/per_image_all_channel_maps/C_bias/001_Noshape_001_C_bias.npy
1,Noshape_001.png,straight_bias,0.25,h1_exc,128,2.606069326400757,9.43620777130127,0.4441712498664856,/home/yentl/pytorch_gammanet/outputs_noshape_bias_final/arrays/per_image_all_channel_maps/straight_bias/001_Noshape_001_straight_bias.npy
2,Noshape_002.png,baseline,0.0,h1_exc,128,2.1944921016693115,9.238701820373535,0.4530048668384552,/home/yentl/pytorch_gammanet/outputs_noshape_bias_final/arrays/per_image_all_channel_maps/baseline/002_Noshape_002_baseline.npy
2,Noshape_002.png,C_bias,0.25,h1_exc,128,2.5706186294555664,10.102401733398438,0.4812467396259308,/home/yentl/pytorch_gammanet/outputs_noshape_bias_final/arrays/per_image_all_channel_maps/C_bias/002_Noshape_002_C_bias.npy
2,Noshape_002.png,straight_bias,0.25,h1_exc,128,2.5946075916290283,9.694440841674805,0.49732285737991333,/home/yentl/pytorch_gammanet/outputs_noshape_bias_final/arrays/per_image_all_channel_maps/straight_bias/002_Noshape_002_straight_bias.npy
3,Noshape_003.png,baseline,0.0,h1_exc,128,2.199955940246582,6.205615043640137,0.38269659876823425,/home/yentl/pytorch_gammanet/outputs_noshape_bias_final/arrays/per_image_all_channel_maps/baseline/003_Noshape_003_baseline.npy
3,Noshape_003.png,C_bias,0.25,h1_exc,128,2.5752336978912354,6.474812030792236,0.4083397686481476,/home/yentl/pytorch_gammanet/outputs_noshape_bias_final/arrays/per_image_all_channel_maps/C_bias/003_Noshape_003_C_bias.npy
3,Noshape_003.png,straight_bias,0.25,h1_exc,128,2.605146646499634,6.737462043762207,0.41614845395088196,/home/yentl/pytorch_gammanet/outputs_noshape_bias_final/arrays/per_image_all_channel_maps/straight_bias/003_Noshape_003_straight_bias.npy
4,Noshape_004.png,baseline,0.0,h1_exc,128,2.2006568908691406,7.042038917541504,0.41523224115371704,/home/yentl/pytorch_gammanet/outputs_noshape_bias_final/arrays/per_image_all_channel_maps/baseline/004_Noshape_004_baseline.npy
4,Noshape_004.png,C_bias,0.25,h1_exc,128,2.5785257816314697,6.957128524780273,0.44401830434799194,/home/yentl/pytorch_gammanet/outputs_noshape_bias_final/arrays/per_image_all_channel_maps/C_bias/004_Noshape_004_C_bias.npy
4,Noshape_004.png,straight_bias,0.25,h1_exc,128,2.60394549369812,7.748019695281982,0.45286825299263,/home/yentl/pytorch_gammanet/outputs_noshape_bias_final/arrays/per_image_all_channel_maps/straight_bias/004_Noshape_004_straight_bias.npy
