contour_type,contour_quadrant,n_images,n_match,proportion_match,mean_TL,mean_TR,mean_BL,mean_BR
C,BL,6,6,1.0,2.140708565711975,2.0848719278971353,2.471345901489258,2.097259799639384
C,BR,6,5,0.8333333333333334,2.194186011950175,2.0460219383239746,2.2473482688268027,2.293069044748942
C,TL,6,6,1.0,2.4039573669433594,2.0589361985524497,2.2181285619735718,2.1075881719589233
C,TR,6,0,0.0,2.1872047185897827,2.186728278795878,2.2897788286209106,2.1155232985814414
straight,BL,6,6,1.0,2.2233856916427612,2.1194558143615723,2.319842219352722,2.1284656127293906
straight,BR,6,1,0.16666666666666666,2.200547774632772,2.0753637552261353,2.2967729965845742,2.219327370325724
straight,TL,6,4,0.6666666666666666,2.3041109244028726,2.0663496255874634,2.2886822621027627,2.1342212359110513
straight,TR,6,0,0.0,2.2087441285451255,2.185572544733683,2.2973181009292603,2.1145071188608804
