bias_strength,matched_condition,mean_delta_enrichment,sem_delta_enrichment,n_channels
0.05,C stimulus / C-bias,0.02759900289314595,0.004979843963259829,128
0.05,straight stimulus / straight-bias,0.008940339976813861,0.0026823015316452697,128
0.15,C stimulus / C-bias,0.07876818682508535,0.014419475512605926,128
0.15,straight stimulus / straight-bias,0.024494023961466244,0.007318403518337025,128
0.25,C stimulus / C-bias,0.12157651187233279,0.021524970466028377,128
0.25,straight stimulus / straight-bias,0.037474216027269594,0.011398990170128954,128
