filename,contour_type,contrast,quadrant,position,stimulus_id,jitter,layer,channel_group,n_channels,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,dice_top_activation,top_activation_percentile,condition,bias_strength,baseline_contour_mean_activation,baseline_background_mean_activation,baseline_contour_preference_ratio,baseline_activation_on_contour_pct,baseline_contour_enrichment,baseline_dice_top_activation,delta_contour_mean_activation,delta_background_mean_activation,delta_contour_preference_ratio,delta_activation_on_contour_pct,delta_contour_enrichment,delta_dice_top_activation
straight_high_BL_0_J015_011.png,straight,high,BL,0,011,15,h1_exc,all_channels,128,1.6496404,0.6344878,2.599956,2.1665788,0.844573974609375,2.565291862128461,0.124661437264721,90,matched_bias,0.15,1.5914487,0.6201586,2.5661962,2.1390479,2.5326944709155077,0.12346113260635826,0.058191776,0.014329195,0.033759832,0.027530909,0.03259739121295313,0.0012003046583627386
straight_high_BL_0_J015_011.png,straight,high,BL,0,011,15,h1_exc,C_channels,77,1.6903849,0.6603585,2.5597987,2.1338294,0.844573974609375,2.5265156092000494,0.11600830138235041,90,matched_bias,0.15,1.634284,0.6425958,2.5432534,2.1203291,2.5105309662095467,0.11424953392658403,0.056100845,0.017762661,0.016545296,0.013500214,0.015984642990502618,0.0017587674557663774
straight_high_BL_0_J015_011.png,straight,high,BL,0,011,15,h1_exc,straight_channels,51,1.676939,0.6842431,2.4507942,2.0448215,0.844573974609375,2.4211277378191456,0.12550564564348887,90,matched_bias,0.15,1.618249,0.677756,2.3876572,1.9931936,2.359998842878973,0.1252945935487969,0.058689952,0.0064870715,0.063137054,0.051627874,0.06112889494017271,0.00021105209469196584
straight_high_BL_0_J015_011.png,straight,high,BL,0,011,15,h1_exc,matched_channels,51,1.676939,0.6842431,2.4507942,2.0448215,0.844573974609375,2.4211277378191456,0.12550564564348887,90,matched_bias,0.15,1.618249,0.677756,2.3876572,1.9931936,2.359998842878973,0.1252945935487969,0.058689952,0.0064870715,0.063137054,0.051627874,0.06112889494017271,0.00021105209469196584
straight_high_BL_0_J016_008.png,straight,high,BL,0,008,16,h1_exc,all_channels,128,1.8750229,0.65476835,2.8636432,2.3810802,0.844573974609375,2.819267694713003,0.13401808012939814,90,matched_bias,0.15,1.7977654,0.63053906,2.8511562,2.3709443,2.8072665092182443,0.13261106616478505,0.077257514,0.024229288,0.012486935,0.010135889,0.012001185494758815,0.0014070139646130964
straight_high_BL_0_J016_008.png,straight,high,BL,0,008,16,h1_exc,C_channels,77,1.8810923,0.6782659,2.7733846,2.3077633,0.844573974609375,2.732458470356929,0.12691265960810197,90,matched_bias,0.15,1.8203641,0.6621126,2.7493272,2.2882037,2.709299312997897,0.12501319075587428,0.060728192,0.016153336,0.024057388,0.019559622,0.023159157359031735,0.0018994688522276926
straight_high_BL_0_J016_008.png,straight,high,BL,0,008,16,h1_exc,straight_channels,51,1.9519815,0.7054137,2.7671444,2.3026905,0.844573974609375,2.7264520905725806,0.13528439269754994,90,matched_bias,0.15,1.8645704,0.68379384,2.7268019,2.269882,2.687605828611574,0.1293749340461749,0.087411165,0.021619856,0.04034257,0.032808542,0.0388462619610066,0.0059094586513750436
straight_high_BL_0_J016_008.png,straight,high,BL,0,008,16,h1_exc,matched_channels,51,1.9519815,0.7054137,2.7671444,2.3026905,0.844573974609375,2.7264520905725806,0.13528439269754994,90,matched_bias,0.15,1.8645704,0.68379384,2.7268019,2.269882,2.687605828611574,0.1293749340461749,0.087411165,0.021619856,0.04034257,0.032808542,0.0388462619610066,0.0059094586513750436
straight_high_BL_0_J017_018.png,straight,high,BL,0,018,17,h1_exc,all_channels,128,1.6622,0.653238,2.544555,2.1213913,0.844573974609375,2.5117885881458757,0.11326462415135485,90,matched_bias,0.15,1.5645524,0.62685746,2.4958663,2.0816445,2.4647272743399515,0.11164655809204979,0.09764755,0.026380539,0.04868865,0.03974676,0.047061313805924154,0.0016180660593050622
straight_high_BL_0_J017_018.png,straight,high,BL,0,018,17,h1_exc,C_channels,77,1.5708923,0.66427016,2.3648396,1.9745215,0.844573974609375,2.337890526745078,0.09208906398392765,90,matched_bias,0.15,1.4810785,0.64382255,2.3004453,1.9217887,2.275453338008291,0.08962678954585471,0.08981383,0.020447612,0.064394236,0.052732825,0.062437188736787164,0.0024622744380729394
straight_high_BL_0_J017_018.png,straight,high,BL,0,018,17,h1_exc,straight_channels,51,1.8753337,0.7118592,2.6344166,2.1946647,0.844573974609375,2.598546434905449,0.12909353125325226,90,matched_bias,0.15,1.7885529,0.69921523,2.5579433,2.1323154,2.5247230392122404,0.12909353125325226,0.08678079,0.012643993,0.076473236,0.06234932,0.0738233956932084,0.0
straight_high_BL_0_J017_018.png,straight,high,BL,0,018,17,h1_exc,matched_channels,51,1.8753337,0.7118592,2.6344166,2.1946647,0.844573974609375,2.598546434905449,0.12909353125325226,90,matched_bias,0.15,1.7885529,0.69921523,2.5579433,2.1323154,2.5247230392122404,0.12909353125325226,0.08678079,0.012643993,0.076473236,0.06234932,0.0738233956932084,0.0
straight_high_BL_0_J018_018.png,straight,high,BL,0,018,18,h1_exc,all_channels,128,1.6849797,0.6531759,2.579672,2.1500392,0.844573974609375,2.545708529027,0.11832571227572342,90,matched_bias,0.15,1.5868834,0.6268365,2.5315747,2.1107986,2.4992465264154253,0.1152344437018132,0.09809625,0.026339412,0.048097372,0.0392406,0.046462002611574515,0.003091268573910219
straight_high_BL_0_J018_018.png,straight,high,BL,0,018,18,h1_exc,C_channels,77,1.6169218,0.663965,2.4352515,2.0321176,0.844573974609375,2.406085958412782,0.09813922403176399,90,matched_bias,0.15,1.5258509,0.643562,2.3709462,1.9795191,2.343807842619008,0.09475905733376899,0.09107089,0.020402968,0.064305305,0.052598476,0.06227811579377418,0.003380166697994999
straight_high_BL_0_J018_018.png,straight,high,BL,0,018,18,h1_exc,straight_channels,51,1.8631595,0.7123127,2.6156483,2.17937,0.844573974609375,2.580436961316799,0.13317387175063028,90,matched_bias,0.15,1.7762411,0.6987944,2.5418649,2.1191962,2.5091895028107962,0.13232966337186242,0.08691847,0.013518274,0.0737834,0.06017375,0.07124745850600256,0.0008442083787678634
straight_high_BL_0_J018_018.png,straight,high,BL,0,018,18,h1_exc,matched_channels,51,1.8631595,0.7123127,2.6156483,2.17937,0.844573974609375,2.580436961316799,0.13317387175063028,90,matched_bias,0.15,1.7762411,0.6987944,2.5418649,2.1191962,2.5091895028107962,0.13232966337186242,0.08691847,0.013518274,0.0737834,0.06017375,0.07124745850600256,0.0008442083787678634
straight_high_BL_0_J019_009.png,straight,high,BL,0,009,19,h1_exc,all_channels,128,1.5788581,0.62925917,2.5090744,2.0924304,0.844573974609375,2.4774979946042803,0.10869182876636227,90,matched_bias,0.15,1.5313616,0.61255616,2.499953,2.0849826,2.4686796794422055,0.10812902318051702,0.047496557,0.01670301,0.009121418,0.0074477196,0.008818315162074875,0.0005628055858452469
straight_high_BL_0_J019_009.png,straight,high,BL,0,009,19,h1_exc,C_channels,77,1.5650488,0.65622324,2.3849335,1.9909645,0.844573974609375,2.3573595305796,0.10046079707337562,90,matched_bias,0.15,1.522896,0.638707,2.3843422,1.990481,2.356787037361446,0.10003869288399168,0.042152762,0.017516255,0.0005912781,0.00048351288,0.0005724932181538911,0.0004221041893839317
straight_high_BL_0_J019_009.png,straight,high,BL,0,009,19,h1_exc,straight_channels,51,1.712394,0.7012352,2.4419682,2.037608,0.844573974609375,2.4125866358425876,0.1227619684124933,90,matched_bias,0.15,1.6673074,0.6962379,2.394738,1.9989861,2.366857328570124,0.12248056561957069,0.045086622,0.0049972534,0.047230244,0.038621783,0.045729307272463604,0.0002814027929226165
straight_high_BL_0_J019_009.png,straight,high,BL,0,009,19,h1_exc,matched_channels,51,1.712394,0.7012352,2.4419682,2.037608,0.844573974609375,2.4125866358425876,0.1227619684124933,90,matched_bias,0.15,1.6673074,0.6962379,2.394738,1.9989861,2.366857328570124,0.12248056561957069,0.045086622,0.0049972534,0.047230244,0.038621783,0.045729307272463604,0.0002814027929226165
straight_high_BL_0_J020_012.png,straight,high,BL,0,012,20,h1_exc,all_channels,128,1.6916407,0.6283126,2.6923554,2.2418501,0.844573974609375,2.6544153366829693,0.13155580569132522,90,matched_bias,0.15,1.6269188,0.6064082,2.6828773,2.2341347,2.6452800048128147,0.12958598614086686,0.06472194,0.021904409,0.009478092,0.0077154636,0.009135331870154584,0.001969819550458357
straight_high_BL_0_J020_012.png,straight,high,BL,0,012,20,h1_exc,C_channels,77,1.6680459,0.69049144,2.4157372,2.0161614,0.844573974609375,2.3871933999192216,0.11178725948851109,90,matched_bias,0.15,1.6084099,0.6669369,2.4116373,2.0128088,2.3832237748533056,0.10953603714513013,0.059635997,0.023554564,0.004099846,0.003352642,0.003969625065916027,0.0022512223433809597
straight_high_BL_0_J020_012.png,straight,high,BL,0,012,20,h1_exc,straight_channels,51,1.874528,0.6816983,2.7497911,2.2885811,0.844573974609375,2.709746185169661,0.1386612262126214,90,matched_bias,0.15,1.8052304,0.66538835,2.7130477,2.2586906,2.674354925426102,0.13837982341969876,0.06929767,0.016309977,0.036743402,0.029890537,0.035391259743558834,0.0002814027929226304
straight_high_BL_0_J020_012.png,straight,high,BL,0,012,20,h1_exc,matched_channels,51,1.874528,0.6816983,2.7497911,2.2885811,0.844573974609375,2.709746185169661,0.1386612262126214,90,matched_bias,0.15,1.8052304,0.66538835,2.7130477,2.2586906,2.674354925426102,0.13837982341969876,0.06929767,0.016309977,0.036743402,0.029890537,0.035391259743558834,0.0002814027929226304
straight_high_BL_0_J021_011.png,straight,high,BL,0,011,21,h1_exc,all_channels,128,1.8643894,0.63419425,2.9397767,2.4428382,0.844573974609375,2.892391000080264,0.1347215871117047,90,matched_bias,0.15,1.8034704,0.61970085,2.9102273,2.418878,2.864021533388163,0.1343698336205514,0.060919046,0.014493406,0.02954936,0.023960114,0.028369466692101053,0.0003517534911532949
straight_high_BL_0_J021_011.png,straight,high,BL,0,011,21,h1_exc,C_channels,77,1.8879992,0.66029274,2.8593366,2.377585,0.844573974609375,2.8151292575442977,0.12775686798686983,90,matched_bias,0.15,1.8281524,0.6419152,2.8479657,2.3683536,2.804199097330444,0.1273347637974859,0.05984676,0.018377542,0.011370897,0.009231329,0.010930160213853846,0.0004221041893839317
straight_high_BL_0_J021_011.png,straight,high,BL,0,011,21,h1_exc,straight_channels,51,1.9178845,0.68393177,2.8042045,2.3328114,0.844573974609375,2.7621160467898758,0.13999788947900382,90,matched_bias,0.15,1.8577394,0.67769504,2.7412617,2.2816439,2.7015322625026883,0.14041999366838775,0.06014502,0.006236732,0.06294274,0.051167488,0.06058378428718747,-0.0004221041893839317
straight_high_BL_0_J021_011.png,straight,high,BL,0,011,21,h1_exc,matched_channels,51,1.9178845,0.68393177,2.8042045,2.3328114,0.844573974609375,2.7621160467898758,0.13999788947900382,90,matched_bias,0.15,1.8577394,0.67769504,2.7412617,2.2816439,2.7015322625026883,0.14041999366838775,0.06014502,0.006236732,0.06294274,0.051167488,0.06058378428718747,-0.0004221041893839317
straight_high_BL_0_J022_008.png,straight,high,BL,0,008,22,h1_exc,all_channels,128,2.2539234,0.65170693,3.4584923,2.861536,0.844573974609375,3.3881413329638246,0.1416159555383089,90,matched_bias,0.15,2.1603944,0.6284623,3.437588,2.8447325,3.3682454998660636,0.14196770902946218,0.093528986,0.02324462,0.020904303,0.016803503,0.019895833097760995,-0.00035175349115326715
straight_high_BL_0_J022_008.png,straight,high,BL,0,008,22,h1_exc,C_channels,77,2.3397498,0.6754716,3.463876,2.865863,0.844573974609375,3.3932646955951227,0.1373949136444696,90,matched_bias,0.15,2.2549984,0.65947205,3.4193995,2.8301063,3.3509275800169123,0.13760596573916156,0.08475137,0.015999556,0.04447651,0.035756826,0.042337115578210405,-0.00021105209469196584
straight_high_BL_0_J022_008.png,straight,high,BL,0,008,22,h1_exc,straight_channels,51,2.2118351,0.7033187,3.1448548,2.6088042,0.844573974609375,3.08889957950603,0.1436561257869979,90,matched_bias,0.15,2.1167247,0.68080735,3.109139,2.579941,3.054724726703805,0.14372647648522854,0.09511042,0.022511363,0.03571582,0.028863192,0.034174852802224986,-7.035069823063678e-05
straight_high_BL_0_J022_008.png,straight,high,BL,0,008,22,h1_exc,matched_channels,51,2.2118351,0.7033187,3.1448548,2.6088042,0.844573974609375,3.08889957950603,0.1436561257869979,90,matched_bias,0.15,2.1167247,0.68080735,3.109139,2.579941,3.054724726703805,0.14372647648522854,0.09511042,0.022511363,0.03571582,0.028863192,0.034174852802224986,-7.035069823063678e-05
straight_high_BL_0_J023_018.png,straight,high,BL,0,018,23,h1_exc,all_channels,128,1.616116,0.65387845,2.4715848,2.061811,0.844573974609375,2.4412437606161967,0.10960638784336078,90,matched_bias,0.15,1.5165473,0.6275648,2.416559,2.0168333,2.387988905781528,0.10665165851767328,0.099568725,0.026313663,0.055025816,0.044977665,0.05325485483466874,0.002954729325687508
straight_high_BL_0_J023_018.png,straight,high,BL,0,018,23,h1_exc,C_channels,77,1.5471014,0.66478,2.327238,1.9437363,0.844573974609375,2.301439956941794,0.08997854303700799,90,matched_bias,0.15,1.454974,0.6444114,2.2578342,1.8868636,2.2341010067454303,0.08695346301308982,0.09212732,0.020368636,0.06940389,0.056872725,0.06733895019636371,0.0030250800239181724
straight_high_BL_0_J023_018.png,straight,high,BL,0,018,23,h1_exc,straight_channels,51,1.7959843,0.7130886,2.518599,2.1002069,0.844573974609375,2.48670559386292,0.12627950332402607,90,matched_bias,0.15,1.7065982,0.699217,2.4407275,2.0365934,2.4113854728035125,0.12494284005764363,0.089386106,0.013871551,0.07787156,0.063613415,0.07532012105940744,0.0013366632663824457
straight_high_BL_0_J023_018.png,straight,high,BL,0,018,23,h1_exc,matched_channels,51,1.7959843,0.7130886,2.518599,2.1002069,0.844573974609375,2.48670559386292,0.12627950332402607,90,matched_bias,0.15,1.7065982,0.699217,2.4407275,2.0365934,2.4113854728035125,0.12494284005764363,0.089386106,0.013871551,0.07787156,0.063613415,0.07532012105940744,0.0013366632663824457
straight_high_BL_0_J024_006.png,straight,high,BL,0,006,24,h1_exc,all_channels,128,1.5095179,0.66851574,2.258014,1.8870112,0.844573974609375,2.234275747032431,0.1077069189911331,90,matched_bias,0.15,1.4414923,0.6465945,2.2293606,1.8635113,2.206451249846072,0.10622955432828934,0.06802559,0.021921217,0.028653383,0.023499846,0.0278244971863586,0.0014773646628437609
straight_high_BL_0_J024_006.png,straight,high,BL,0,006,24,h1_exc,C_channels,77,1.4903293,0.6599049,2.2584,1.8873272,0.844573974609375,2.2346499283739805,0.10102360265922085,90,matched_bias,0.15,1.43648,0.64594084,2.223857,1.8589965,2.2011055803068373,0.100179394280453,0.05384922,0.013964057,0.034543037,0.028330684,0.033544348067143126,0.0008442083787678495
straight_high_BL_0_J024_006.png,straight,high,BL,0,006,24,h1_exc,straight_channels,51,1.5770823,0.7201092,2.19006,1.8312616,0.844573974609375,2.1682666861608806,0.10960638784336078,90,matched_bias,0.15,1.5061097,0.70463115,2.137444,1.7880527,2.1171060329725995,0.10883253016282358,0.07097256,0.015478075,0.05261588,0.043208957,0.05116065318828111,0.0007738576805371988
