filename,contour_type,jitter,condition,layer,mean_activation,mean_abs_activation,std_activation,min_activation,max_activation
C_high_BL_0_J000_008.png,C,0,baseline,h0_exc,3.8119423389434814,3.8119423389434814,4.173829078674316,0.03752220422029495,134.973388671875
C_high_BL_0_J000_008.png,C,0,baseline,h1_exc,2.197467565536499,2.197467565536499,1.768336296081543,0.04896147549152374,104.0470199584961
C_high_BL_0_J000_008.png,C,0,baseline,h2_exc,2.3814072608947754,2.3814072608947754,3.4682352542877197,0.006312442012131214,122.15582275390625
C_high_BL_0_J000_008.png,C,0,baseline,h3_exc,23.140663146972656,23.140663146972656,87.2265853881836,0.0051611741073429585,1717.290283203125
C_high_BL_0_J000_008.png,C,0,baseline,h4_exc,7081.7861328125,7081.7861328125,51965.8515625,2.941610546258744e-05,1489105.0
C_high_BL_0_J000_008.png,C,0,matched_bias,h0_exc,3.810434579849243,3.810434579849243,4.097741603851318,0.038402408361434937,121.43019104003906
C_high_BL_0_J000_008.png,C,0,matched_bias,h1_exc,2.4627561569213867,2.4627561569213867,1.9506936073303223,0.037699948996305466,100.30784606933594
C_high_BL_0_J000_008.png,C,0,matched_bias,h2_exc,2.408830404281616,2.408830404281616,3.5236611366271973,0.006249863188713789,127.51786041259766
C_high_BL_0_J000_008.png,C,0,matched_bias,h3_exc,23.0759334564209,23.0759334564209,86.81804656982422,0.005485408939421177,1753.053466796875
C_high_BL_0_J000_008.png,C,0,matched_bias,h4_exc,7072.43798828125,7072.43798828125,51246.80859375,3.111072874162346e-05,1455133.375
C_high_BL_0_J001_011.png,C,1,baseline,h0_exc,3.7631728649139404,3.7631728649139404,4.274311542510986,0.03451560065150261,198.97357177734375
C_high_BL_0_J001_011.png,C,1,baseline,h1_exc,2.202892541885376,2.202892541885376,1.914385199546814,0.0503946989774704,212.08351135253906
C_high_BL_0_J001_011.png,C,1,baseline,h2_exc,2.3780906200408936,2.3780906200408936,3.4625401496887207,0.007395680993795395,135.16510009765625
C_high_BL_0_J001_011.png,C,1,baseline,h3_exc,22.49652671813965,22.49652671813965,85.22721862792969,0.0058440775610506535,1903.0771484375
C_high_BL_0_J001_011.png,C,1,baseline,h4_exc,7505.44873046875,7505.44873046875,53395.015625,2.500495065760333e-05,1379454.625
C_high_BL_0_J001_011.png,C,1,matched_bias,h0_exc,3.7622320652008057,3.7622320652008057,4.207748889923096,0.03399701043963432,195.978759765625
C_high_BL_0_J001_011.png,C,1,matched_bias,h1_exc,2.4704749584198,2.4704749584198,2.0886893272399902,0.05909422039985657,220.1944122314453
C_high_BL_0_J001_011.png,C,1,matched_bias,h2_exc,2.403453826904297,2.403453826904297,3.520686626434326,0.006714614108204842,139.84320068359375
C_high_BL_0_J001_011.png,C,1,matched_bias,h3_exc,22.37997817993164,22.37997817993164,84.42417907714844,0.005662868265062571,1919.1309814453125
C_high_BL_0_J001_011.png,C,1,matched_bias,h4_exc,7447.482421875,7447.482421875,52451.96875,2.4771239623078145e-05,1323660.75
C_high_BL_0_J002_015.png,C,2,baseline,h0_exc,3.7745261192321777,3.7745261192321777,4.137343406677246,0.042128629982471466,148.0491180419922
C_high_BL_0_J002_015.png,C,2,baseline,h1_exc,2.196955919265747,2.196955919265747,1.829674482345581,0.053533367812633514,153.39122009277344
C_high_BL_0_J002_015.png,C,2,baseline,h2_exc,2.394092559814453,2.394092559814453,3.4785783290863037,0.006784216035157442,107.94298553466797
C_high_BL_0_J002_015.png,C,2,baseline,h3_exc,22.625593185424805,22.625593185424805,85.06438446044922,0.003688286757096648,1905.002197265625
C_high_BL_0_J002_015.png,C,2,baseline,h4_exc,7098.248046875,7098.248046875,48721.546875,2.8652169930865057e-05,1157340.25
C_high_BL_0_J002_015.png,C,2,matched_bias,h0_exc,3.777616500854492,3.777616500854492,4.067493438720703,0.041437774896621704,144.6647491455078
C_high_BL_0_J002_015.png,C,2,matched_bias,h1_exc,2.4621315002441406,2.4621315002441406,1.998836874961853,0.0497811958193779,153.02182006835938
C_high_BL_0_J002_015.png,C,2,matched_bias,h2_exc,2.4217498302459717,2.4217498302459717,3.5386886596679688,0.006768147926777601,120.37110900878906
C_high_BL_0_J002_015.png,C,2,matched_bias,h3_exc,22.553295135498047,22.553295135498047,84.52523803710938,0.0035620552953332663,1949.6026611328125
C_high_BL_0_J002_015.png,C,2,matched_bias,h4_exc,7157.22509765625,7157.22509765625,48833.11328125,2.7483212761580944e-05,1186807.375
C_high_BL_0_J003_012.png,C,3,baseline,h0_exc,3.802692174911499,3.802692174911499,4.236454486846924,0.03356420621275902,202.54917907714844
C_high_BL_0_J003_012.png,C,3,baseline,h1_exc,2.2041778564453125,2.2041778564453125,1.812869906425476,0.045734018087387085,113.80431365966797
C_high_BL_0_J003_012.png,C,3,baseline,h2_exc,2.388868570327759,2.388868570327759,3.522387981414795,0.0070525603368878365,151.21890258789062
C_high_BL_0_J003_012.png,C,3,baseline,h3_exc,22.544788360595703,22.544788360595703,84.15050506591797,0.004522403702139854,1678.8939208984375
C_high_BL_0_J003_012.png,C,3,baseline,h4_exc,7235.7294921875,7235.7294921875,50404.6328125,2.7428492103354074e-05,1167518.75
C_high_BL_0_J003_012.png,C,3,matched_bias,h0_exc,3.8029673099517822,3.8029673099517822,4.158198833465576,0.03371909260749817,189.08245849609375
C_high_BL_0_J003_012.png,C,3,matched_bias,h1_exc,2.4704880714416504,2.4704880714416504,1.9894706010818481,0.03612114116549492,110.58895111083984
C_high_BL_0_J003_012.png,C,3,matched_bias,h2_exc,2.4166088104248047,2.4166088104248047,3.5768096446990967,0.007153995800763369,160.5175323486328
C_high_BL_0_J003_012.png,C,3,matched_bias,h3_exc,22.568300247192383,22.568300247192383,84.03121185302734,0.004337648395448923,1651.439208984375
C_high_BL_0_J003_012.png,C,3,matched_bias,h4_exc,7313.64990234375,7313.64990234375,50618.703125,2.7117039280710742e-05,1215836.5
C_high_BL_0_J004_024.png,C,4,baseline,h0_exc,3.790635347366333,3.790635347366333,4.214998245239258,0.04452420026063919,123.46358489990234
C_high_BL_0_J004_024.png,C,4,baseline,h1_exc,2.199763298034668,2.199763298034668,1.8178737163543701,0.05916112661361694,92.72364807128906
C_high_BL_0_J004_024.png,C,4,baseline,h2_exc,2.407553195953369,2.407553195953369,3.6092231273651123,0.007001906167715788,159.0260772705078
C_high_BL_0_J004_024.png,C,4,baseline,h3_exc,22.680326461791992,22.680326461791992,85.08201599121094,0.005109810270369053,1801.69580078125
C_high_BL_0_J004_024.png,C,4,baseline,h4_exc,7125.109375,7125.109375,50530.3203125,2.736247915890999e-05,1387883.75
C_high_BL_0_J004_024.png,C,4,matched_bias,h0_exc,3.7918145656585693,3.7918145656585693,4.138869285583496,0.044886454939842224,114.38585662841797
