filename,contour_type,contrast,quadrant,position,stimulus_id,jitter,layer,channel_group,n_channels,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,dice_top_activation,top_activation_percentile,condition,bias_strength
C_high_BL_0_J000_008.png,C,high,BL,0,008,0,h1_exc,all_channels,128,2.091322,0.60739756,3.443086,5.4520035,1.647186279296875,3.309888817330535,0.24786296793624998,90,baseline,0.0
C_high_BL_0_J000_008.png,C,high,BL,0,008,0,h1_exc,C_channels,77,2.3927188,0.65150374,3.6726093,5.7943864,1.647186279296875,3.5177480680371342,0.2536272230045349,90,baseline,0.0
C_high_BL_0_J000_008.png,C,high,BL,0,008,0,h1_exc,straight_channels,51,1.761865,0.6663993,2.643858,4.240114,1.647186279296875,2.5741558435664773,0.20070088101391914,90,baseline,0.0
C_high_BL_0_J000_008.png,C,high,BL,0,008,0,h1_exc,matched_channels,77,2.3927188,0.65150374,3.6726093,5.7943864,1.647186279296875,3.5177480680371342,0.2536272230045349,90,baseline,0.0
C_high_BL_0_J000_008.png,C,high,BL,0,008,0,h1_exc,all_channels,128,2.2798312,0.6239657,3.6537766,5.766386,1.647186279296875,3.5007491681866516,0.2500900664853601,90,matched_bias,0.15
C_high_BL_0_J000_008.png,C,high,BL,0,008,0,h1_exc,C_channels,77,2.6210444,0.66939,3.9155715,6.154126,1.647186279296875,3.7361446044602156,0.2542822519895673,90,matched_bias,0.15
C_high_BL_0_J000_008.png,C,high,BL,0,008,0,h1_exc,straight_channels,51,1.8754792,0.6661976,2.8151996,4.5025334,1.647186279296875,2.733469471594196,0.20528608390914574,90,matched_bias,0.15
C_high_BL_0_J000_008.png,C,high,BL,0,008,0,h1_exc,matched_channels,77,2.6210444,0.66939,3.9155715,6.154126,1.647186279296875,3.7361446044602156,0.2542822519895673,90,matched_bias,0.15
C_high_BL_0_J001_011.png,C,high,BL,0,011,1,h1_exc,all_channels,128,2.1493306,0.6410918,3.3526096,5.3163533,1.647186279296875,3.227536166139897,0.25388923459854784,90,baseline,0.0
C_high_BL_0_J001_011.png,C,high,BL,0,011,1,h1_exc,C_channels,77,2.4238079,0.6470162,3.7461314,5.9035354,1.647186279296875,3.5840119629567573,0.2602999934498394,90,baseline,0.0
C_high_BL_0_J001_011.png,C,high,BL,0,011,1,h1_exc,straight_channels,51,1.818564,0.71578723,2.540649,4.0813475,1.647186279296875,2.4777692068195387,0.21321193462803745,90,baseline,0.0
