bias_condition,contour_type,channel_group,n_channels,mean_delta_preference,sem_delta_preference,mean_delta_activation,sem_delta_activation,mean_delta_enrichment,sem_delta_enrichment,mean_delta_dice,sem_delta_dice
C_bias,C,C_channels,77,0.12390428,0.02689277,0.1823573,0.03686982,0.11029761949168827,0.022300465978514105,0.005014086523687423,0.0008309617341388995
C_bias,C,straight_channels,51,0.034066495,0.011540385,0.051525604,0.017249988,0.03116492574021428,0.010433540212373103,0.0024971625431998968,0.0004966584660003062
C_bias,straight,C_channels,77,0.08801066,0.019779235,0.06912233,0.015109036,0.0835670247738133,0.018266417650882858,0.0024419871793045704,0.00042718945140851156
C_bias,straight,straight_channels,51,0.028870732,0.011643588,0.022584205,0.009075949,0.027303691959305383,0.01097257287304569,0.0009117112756664379,0.0002759992699132188
straight_bias,C,C_channels,77,0.017803397,0.008746717,0.025975334,0.0127409,0.015711033719545964,0.00770625248258454,0.0009786744104322836,0.00042376438087115
straight_bias,C,straight_channels,51,0.043426782,0.015660742,0.06682802,0.023129636,0.040420501083842396,0.013989804362484006,0.001784408255863938,0.0007330602846267748
straight_bias,straight,C_channels,77,0.014985222,0.007771227,0.011708527,0.0060839714,0.014155294191956921,0.007355356005271719,0.0006493265288689679,0.00024085957530499297
straight_bias,straight,straight_channels,51,0.041899577,0.015488172,0.03317154,0.011962973,0.04010347871150974,0.014462908881845916,0.0009525825229319915,0.0005480434675583481
