filename,contour_type,contrast,quadrant,position,jitter,stimulus_id,condition,bias_strength,layer,channel_group,n_channels,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,dice_top_activation,top_activation_percentile
C_BL_0_J010_002.png,C,NA,BL,0,10,2,straight_bias,0.25,h1_exc,all_channels,128,2.1179836,0.6593197,3.2123773,5.105335,1.647186279296875,3.099427957098276,0.25408574329405753,90
C_BL_0_J010_003.png,C,NA,BL,0,10,3,baseline,0.0,h1_exc,all_channels,128,1.9389764,0.61203235,3.1680946,5.0385036,1.647186279296875,3.058854775315877,0.2476583480709217,90
C_BL_0_J010_003.png,C,NA,BL,0,10,3,C_bias,0.25,h1_exc,all_channels,128,2.1482425,0.649066,3.3097444,5.251951,1.647186279296875,3.1884379148719346,0.2532997085120187,90
C_BL_0_J010_003.png,C,NA,BL,0,10,3,straight_bias,0.25,h1_exc,all_channels,128,2.1544173,0.6632052,3.2484927,5.159771,1.647186279296875,3.13247566416953,0.24832148822577266,90
C_BL_0_J010_004.png,C,NA,BL,0,10,4,baseline,0.0,h1_exc,all_channels,128,1.7107819,0.59484553,2.8760104,4.5953226,1.647186279296875,2.7898013957542913,0.2345003766415896,90
C_BL_0_J010_004.png,C,NA,BL,0,10,4,C_bias,0.25,h1_exc,all_channels,128,1.9276615,0.64062667,3.0090249,4.797657,1.647186279296875,2.912637777593087,0.24327776504102339,90
C_BL_0_J010_004.png,C,NA,BL,0,10,4,straight_bias,0.25,h1_exc,all_channels,128,1.9153996,0.62349755,3.072024,4.8931913,1.647186279296875,2.97063627191444,0.23947859692783563,90
C_BL_0_J010_005.png,C,NA,BL,0,10,5,baseline,0.0,h1_exc,all_channels,128,2.174898,0.6366959,3.415913,5.4113035,1.647186279296875,3.285180040268869,0.24917302590631474,90
C_BL_0_J010_005.png,C,NA,BL,0,10,5,C_bias,0.25,h1_exc,all_channels,128,2.4204257,0.6751108,3.5852273,5.6643305,1.647186279296875,3.4387916650889627,0.2527756853239928,90
C_BL_0_J010_005.png,C,NA,BL,0,10,5,straight_bias,0.25,h1_exc,all_channels,128,2.4147341,0.6880102,3.5097358,5.5516825,1.647186279296875,3.370403522845506,0.25054858677488273,90
C_BL_0_J020_000.png,C,NA,BL,0,20,0,baseline,0.0,h1_exc,all_channels,128,2.0739708,0.6057352,3.4238904,5.423257,1.647186279296875,3.292436872091418,0.2365964693936932,90
C_BL_0_J020_000.png,C,NA,BL,0,20,0,C_bias,0.25,h1_exc,all_channels,128,2.3469841,0.6458622,3.6338775,5.7367845,1.647186279296875,3.482778174780236,0.24262273605599102,90
C_BL_0_J020_000.png,C,NA,BL,0,20,0,straight_bias,0.25,h1_exc,all_channels,128,2.3104205,0.6458304,3.5774417,5.652725,1.647186279296875,3.4317461579524857,0.24000262011586151,90
C_BL_0_J020_001.png,C,NA,BL,0,20,1,baseline,0.0,h1_exc,all_channels,128,2.4177105,0.6095131,3.966626,6.229368,1.647186279296875,3.7818237380411674,0.24655290996618526,90
