contour_type,jitter,condition,bias_strength,layer,channel_group,n_images,mean_contour_enrichment,sem_contour_enrichment,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_dice_top_activation,sem_dice_top_activation
C,0,C_bias,0.25,h1_exc,all_channels,6,3.480656291591018,0.095995919434121,3.6324224,0.10646782,5.7332892,0.15812317,0.2547830682790912,0.001397229030608479
C,0,baseline,0.0,h1_exc,all_channels,6,3.299865369035667,0.0844150990478646,3.4327438,0.093000606,5.435493,0.1390474,0.24983897204109765,0.0014753347471780608
C,0,straight_bias,0.25,h1_exc,all_channels,6,3.444918102831606,0.09378117904519931,3.5928495,0.10389026,5.674422,0.15447508,0.2526337623772358,0.0009649797053478915
C,10,C_bias,0.25,h1_exc,all_channels,6,3.362478123403116,0.1407157608427318,3.5029056,0.15539116,5.5386276,0.23178507,0.2506359239728871,0.001915603618871756
C,10,baseline,0.0,h1_exc,all_channels,6,3.1798524393952623,0.1271042456516164,3.30188,0.1393739,5.2378097,0.20936437,0.2446410568982044,0.0025010161972823684
C,10,straight_bias,0.25,h1_exc,all_channels,6,3.3207353704528906,0.13159431047742717,3.4566877,0.1452898,5.4698696,0.21676034,0.24803764233225864,0.002026759368857932
C,20,C_bias,0.25,h1_exc,all_channels,6,3.3046841508498583,0.17923816890145125,3.440451,0.19799927,5.4434304,0.29523864,0.24376773568895002,0.00391875209974114
C,20,baseline,0.0,h1_exc,all_channels,6,3.1212580866554176,0.158130155159419,3.238612,0.17356178,5.1412935,0.26046982,0.2382886276050268,0.004271352105004691
C,20,straight_bias,0.25,h1_exc,all_channels,6,3.265150126850251,0.17383068511087216,3.3968022,0.19172943,5.3783107,0.28633153,0.24131129047021324,0.004548277994288399
C,30,C_bias,0.25,h1_exc,all_channels,6,2.866631862711047,0.23202071824137419,2.9642532,0.25493842,4.7218766,0.38218135,0.2321313551457225,0.0064895582332326375
C,30,baseline,0.0,h1_exc,all_channels,6,2.7160267899029615,0.21357919966911343,2.800686,0.23309737,4.473802,0.35180473,0.22524263365313205,0.006988367638316189
C,30,straight_bias,0.25,h1_exc,all_channels,6,2.8378684741640376,0.23501715789609634,2.9332302,0.25795206,4.674498,0.38711703,0.22951123920559302,0.006738598634407675
C,40,C_bias,0.25,h1_exc,all_channels,6,2.413360940458976,0.29998052381449825,2.4800904,0.31944728,3.975255,0.49412382,0.18321160711355478,0.029818926244782447
C,40,baseline,0.0,h1_exc,all_channels,6,2.301607380461188,0.2778218446969309,2.3599145,0.2950386,3.791176,0.45762435,0.17821155252780765,0.029434054598771114
C,40,straight_bias,0.25,h1_exc,all_channels,6,2.4070470606146457,0.29394199261753823,2.4730263,0.31294408,3.964855,0.48417723,0.183712858530191,0.02869829604412598
C,50,C_bias,0.25,h1_exc,all_channels,6,2.109739088048739,0.20435945181570309,2.1534445,0.2151816,3.4751332,0.3366181,0.15509994650591544,0.024614291588968027
C,50,baseline,0.0,h1_exc,all_channels,6,2.0345141338582136,0.19627938697100722,2.073832,0.20607267,3.3512237,0.3233087,0.14983788032615533,0.02575616809996653
C,50,straight_bias,0.25,h1_exc,all_channels,6,2.127258314629118,0.21750056383871152,2.1724458,0.22916767,3.503991,0.35826394,0.1532326448050881,0.026788500956650026
C,60,C_bias,0.25,h1_exc,all_channels,6,1.9045207928224788,0.21470189546210197,1.93795,0.22648637,3.1371005,0.35365403,0.1364097861329917,0.02481827950688757
C,60,baseline,0.0,h1_exc,all_channels,6,1.8527385974829944,0.20422875867028287,1.8833135,0.21508768,3.0518055,0.3364028,0.130285265122939,0.024475556331188874
C,60,straight_bias,0.25,h1_exc,all_channels,6,1.9331811243992938,0.21384847107431204,1.9679836,0.22591688,3.1843092,0.35224828,0.13994694265216653,0.02404828250326386
straight,0,C_bias,0.25,h1_exc,all_channels,6,3.8350213742219554,0.14269057827093284,3.9634564,0.15475512,4.2922792,0.1597039,0.174448523105364,0.0034797339381721424
straight,0,baseline,0.0,h1_exc,all_channels,6,3.632709756511257,0.1299425164520453,3.7453501,0.14014535,4.0658455,0.14543584,0.17277787765035033,0.0032952185925590157
straight,0,straight_bias,0.25,h1_exc,all_channels,6,3.761015680154703,0.1399576113061737,3.883585,0.15143794,4.20945,0.15664506,0.17402540967665878,0.003851003090985413
straight,10,C_bias,0.25,h1_exc,all_channels,6,3.3125939476240642,0.18137168612479856,3.403681,0.19400671,3.7075617,0.20299703,0.16528868914879916,0.006032768801710844
straight,10,baseline,0.0,h1_exc,all_channels,6,3.125637007690287,0.1677503303671102,3.2044318,0.17861229,3.4983137,0.18775158,0.16298937885448417,0.006516857474745993
