contour_type,layer,n_channels,mean_td_effect_preference,sem_td_effect_preference,mean_td_effect_activation_pct,sem_td_effect_activation_pct,mean_td_effect_enrichment,sem_td_effect_enrichment,mean_td_effect_dice,sem_td_effect_dice
C,h1_exc,128,0.7510914,0.10615842,1.1686041,0.162813,0.7068225869780664,0.09847637933767418,0.07494344247326928,0.007253486863091128
straight,h1_exc,128,0.6313083,0.09080876,0.507267,0.07266908,0.6132720138894814,0.08785494402499426,0.0374331492164511,0.003950142401443618
