contour_type,layer,channel_group,n_channels,mean_td_effect_enrichment,sem_td_effect_enrichment,mean_td_effect_preference,sem_td_effect_preference,mean_td_effect_dice,sem_td_effect_dice
C,h1_exc,C_channels,77,0.8844967022005109,0.13510249459499285,0.9409087,0.14708312,0.09043516766886278,0.009248362869192315
C,h1_exc,straight_channels,51,0.43856951105398373,0.13244125015713362,0.46450466,0.13951848,0.0515539750210987,0.010996677512510529
straight,h1_exc,C_channels,77,0.6474486201657723,0.11470200896769829,0.66627514,0.11877876,0.03824434783300912,0.004946898430263546
straight,h1_exc,straight_channels,51,0.5616720397076305,0.13756129129872577,0.5785153,0.14177048,0.03620839836400076,0.006577333636987805
