condition,contour_type,layer,channel,n_images,mean_contour_mean_activation,sem_contour_mean_activation,mean_background_mean_activation,sem_background_mean_activation,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_area_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation,rank_mean_contour_enrichment
full_td,C,h1_exc,23,25,12.44561,0.155658,3.6505308,0.017407304,3.4113455,0.0463396,5.4225807,0.069764555,1.6533203125,3.2798123278808164,0.04219663298961533,0.20476326154344693,0.0037280717147623525,12
full_td,C,h1_exc,24,25,2.3559573,0.01954774,1.5444603,0.0085103735,1.5260255,0.012843312,2.501152,0.020533636,1.6533203125,1.512805511283297,0.012419635810475674,0.11397636805487808,0.0019689181428300066,63
full_td,C,h1_exc,25,25,13.345135,0.18767107,4.184181,0.024739232,3.1895862,0.04093516,5.088203,0.062030923,1.6533203125,3.077566246890562,0.037518999000513156,0.2274432246708896,0.002375593086983758,14
full_td,C,h1_exc,26,25,5.3775163,0.07384954,1.7314235,0.005271598,3.1067648,0.044264723,4.962446,0.06728049,1.6533203125,3.0015032305166023,0.04069416632213209,0.20981071863836084,0.004261353631647647,15
full_td,C,h1_exc,27,25,2.9922385,0.07582599,1.7585466,0.0064456323,1.7035649,0.04590737,2.7828405,0.07286032,1.6533203125,1.6831830125139284,0.044069090250688316,0.12493756808838938,0.0035383847125259943,54
full_td,C,h1_exc,28,25,7.0176344,0.061881866,3.0750704,0.012399441,2.282652,0.020650003,3.6953263,0.03220364,1.6533203125,2.2350939741325386,0.01947816114063391,0.18609841488151446,0.002099839586303946,32
full_td,C,h1_exc,29,25,19.430332,0.2251606,4.4308033,0.018559428,4.388046,0.057129104,6.868232,0.08326292,1.6533203125,4.154205296418156,0.050361033198925376,0.25004273862377435,0.0018481750147292199,6
full_td,C,h1_exc,30,25,0.7359078,0.013627757,0.9928191,0.012322504,0.74012184,0.005821657,1.2289165,0.009546258,1.6533203125,0.7433021553627944,0.005773991518380551,0.01198017403773051,0.0004621500725911359,105
full_td,C,h1_exc,31,25,0.7583908,0.0061422465,1.5272548,0.006841766,0.49667513,0.003966101,0.82804346,0.006555886,1.6533203125,0.5008366710745689,0.003965284755153063,0.0026749350540495476,0.0004006691819444198,122
full_td,C,h1_exc,32,25,0.7639316,0.0066175545,0.7760885,0.004828794,0.9843788,0.0061753616,1.6278893,0.010042684,1.6533203125,0.9846182117517038,0.006074251649116552,0.021077683734164854,0.000777880014025923,90
full_td,C,h1_exc,33,25,2.1665995,0.012052302,1.7085266,0.010605053,1.2686555,0.006770967,2.0881894,0.010909679,1.6533203125,1.2630277456554762,0.006598648511147422,0.08656331182428008,0.0006813625263498007,78
full_td,C,h1_exc,34,25,0.7547886,0.00952724,1.1827359,0.007764299,0.63797575,0.0060658264,1.0611054,0.009982019,1.6533203125,0.6418026667540812,0.006037558749200339,0.01664622447679403,0.0008623408028007387,114
full_td,C,h1_exc,35,25,1.0807699,0.02025716,1.6194022,0.0045921365,0.6675451,0.012697375,1.1096599,0.02087531,1.6533203125,0.6711705947180637,0.012626295788518795,0.021312327159958674,0.0013322964392397866,111
full_td,C,h1_exc,36,25,8.053459,0.27950203,1.1851534,0.009121876,6.8093147,0.24792393,10.24153,0.3333359,1.6533203125,6.194523079318863,0.20161604632188793,0.21543618536812584,0.001927646739940378,2
full_td,C,h1_exc,37,25,3.002742,0.054801695,2.3746345,0.018945,1.2646306,0.021094317,2.0814483,0.033978958,1.6533203125,1.2589504155431763,0.020551951065289915,0.04418000502803638,0.002769821655687538,79
full_td,C,h1_exc,38,25,1.1632417,0.013517978,1.5276948,0.012585369,0.7611383,0.0043474752,1.2633824,0.0071226354,1.6533203125,0.7641485834290792,0.004308079355040364,0.009211430486877389,0.0003790533540501466,104
full_td,C,h1_exc,39,25,0.843817,0.009308239,1.4121956,0.0077512455,0.597287,0.0045707636,0.994112,0.007532363,1.6533203125,0.6012821672621984,0.00455590040009008,0.0021386072236636734,0.00020257952765197047,116
full_td,C,h1_exc,40,25,3.72618,0.05150042,2.090226,0.0048966394,1.7829212,0.025079137,2.9096801,0.039791305,1.6533203125,1.7599010929344288,0.024067510049848608,0.08606015731281488,0.004325991006530713,52
full_td,C,h1_exc,41,25,2.7070968,0.044541113,1.2994155,0.009707752,2.0880098,0.04175348,3.3900821,0.065493345,1.6533203125,2.050469072155609,0.03961322043933324,0.15136512193065332,0.003224860396875211,39
