contour_type,layer,channel,mean_activation_on_contour_pct_full_td,mean_activation_on_contour_pct_no_td,mean_contour_enrichment_full_td,mean_contour_enrichment_no_td,mean_contour_preference_ratio_full_td,mean_contour_preference_ratio_no_td,mean_dice_top_activation_full_td,mean_dice_top_activation_no_td,td_effect_contour_preference_ratio,td_effect_activation_on_contour_pct,td_effect_contour_enrichment,td_effect_dice_top_activation
C,h1_exc,0,7.245043,1.5828714,4.382116847202967,0.9573893824993105,4.6499205,0.95670485,0.22765775580304393,0.028673331693799528,3.6932156,5.6621714,3.4247274647036567,0.19898442410924438
C,h1_exc,1,3.3052564,1.4823536,1.9991627167918333,0.8965918664391017,2.0334585,0.8950365,0.20921344216548532,0.022311237744052366,1.138422,1.8229028,1.1025708503527316,0.18690220442143296
C,h1_exc,2,3.3968158,1.4546425,2.054541793446688,0.8798309766861153,2.091972,0.8780596,0.17212100896658666,0.016404876953120387,1.2139125,1.9421732,1.1747108167605727,0.1557161320134663
C,h1_exc,3,1.6194625,1.4289109,0.9795212390686002,0.864267411386903,0.97935873,0.8623025,0.02644766613590342,0.021386072236636734,0.11705625,0.19055164,0.11525382768169723,0.005061593899266685
C,h1_exc,4,1.0468179,2.1705873,0.6331609784318851,1.3128655194606509,0.6293065,1.3198118,6.704097879823427e-06,0.052747842118450725,-0.6905053,-1.1237694,-0.6797045410287658,-0.0527411380205709
C,h1_exc,5,1.3294165,1.8124566,0.804088922313684,1.0962526208012762,0.80148625,1.0980299,0.0039353054554563515,0.050964552082417694,-0.2965436,-0.4830401,-0.29216369848759216,-0.04702924662696134
C,h1_exc,6,4.0967045,1.8211257,2.477864877908174,1.101496043249073,2.5419314,1.1033802,0.19459859249038497,0.04049945529201333,1.4385512,2.2755787,1.376368834659101,0.15409913719837165
C,h1_exc,7,4.5652165,1.4659011,2.7612413078705784,0.8866407119290013,2.8457649,0.88495475,0.21389424285576644,0.0174171873065058,1.9608102,3.0993154,1.874600595941577,0.19647705554926065
C,h1_exc,8,2.2214112,1.8539937,1.3436060224495565,1.1213759397850993,1.3516152,1.1236719,0.05959919870464463,0.045031275467644925,0.2279433,0.36741757,0.2222300826644572,0.014567923236999708
C,h1_exc,9,1.1679087,1.3870218,0.7064019080132573,0.8389310685330972,0.70295197,0.8366661,0.006134249560038436,0.013709880164238908,-0.13371414,-0.21911311,-0.13252916051983987,-0.007575630604200472
C,h1_exc,10,1.7776777,1.6594969,1.0752167032712454,1.0037359165469177,1.0765908,1.0037991,0.03924578898848634,0.037770759372612754,0.072791696,0.11818075,0.07148078672432767,0.001475029615873584
C,h1_exc,11,1.2858804,1.7634404,0.7777563790035217,1.0666054121150461,0.77499944,1.067802,0.0361149752786088,0.040559792172931736,-0.2928025,-0.47755992,-0.28884903311152443,-0.004444816894322932
C,h1_exc,12,2.7539475,1.9974703,1.6657071584591163,1.2081568102870492,1.6846462,1.212401,0.1382246519098674,0.0453195550470645,0.47224522,0.75647724,0.4575503481720671,0.0929050968628029
C,h1_exc,13,10.650325,1.9291235,6.441779623618533,1.166817777801188,7.106635,1.170105,0.2331081873793404,0.05289533227180684,5.93653,8.721201,5.274961845817345,0.18021285510753354
C,h1_exc,14,2.7192383,1.5735704,1.6447134644226282,0.9517637884049402,1.6631263,0.95099556,0.07582983315404583,0.018027319198845194,0.7121308,1.1456679,0.692949676017688,0.05780251395520064
C,h1_exc,15,1.6196051,2.177122,0.9796075607326528,1.316818186438737,0.97927934,1.3238736,0.007086177529578653,0.05362590535546837,-0.3445943,-0.55751705,-0.3372106257060842,-0.04653972782588972
C,h1_exc,16,3.4098835,1.9010897,2.0624457372577853,1.1498616216952773,2.1004534,1.152769,0.15503792774265482,0.045896091173557994,0.9476844,1.5087938,0.9125841155625081,0.10914183656909682
C,h1_exc,17,1.6135522,1.0163014,0.97594658195422,0.6147032248218592,0.9755835,0.61075056,0.022384982820730422,0.012818235146222393,0.36483294,0.5972508,0.3612433571323608,0.00956674767450803
C,h1_exc,18,2.7754087,2.0228994,1.6786877851802935,1.2235374532601382,1.6983197,1.2281575,0.15320204474972496,0.04372412637220839,0.47016215,0.75250936,0.4551503319201553,0.10947791837751657
C,h1_exc,19,2.3951457,1.3801988,1.4486882364939058,0.8348042152235557,1.4598621,0.83249426,0.13104451757764973,0.01543278219878146,0.62736785,1.0149468,0.61388402127035,0.11561173537886828
C,h1_exc,20,5.2673573,1.6488461,3.1859265326165755,0.9972938141096936,3.3087173,0.99725133,0.19506913600922224,0.02906226430903456,2.311466,3.6185112,2.1886327185068817,0.16600687170018769
C,h1_exc,21,5.7286696,1.7097737,3.464948191811979,1.034145484252828,3.6171677,1.0347412,0.2316533981394187,0.03840107265562859,2.5824265,4.018896,2.4308027075591507,0.19325232548379012
C,h1_exc,22,3.6792703,1.3354802,2.225382685982476,0.8077564682297393,2.2724261,0.8051554,0.2417296572527933,0.011651683915145197,1.4672707,2.34379,1.4176262177527366,0.2300779733376481
C,h1_exc,23,5.4225807,1.5008845,3.2798123278808164,0.907800222585315,3.4113455,0.9063958,0.20476326154344693,0.018845219140183653,2.5049496,3.9216962,2.3720121052955014,0.18591804240326326
C,h1_exc,24,2.501152,1.3828399,1.512805511283297,0.8364017168751455,1.5260255,0.83411026,0.11397636805487808,0.015982517101397926,0.6919153,1.1183121,0.6764037944081515,0.09799385095348015
C,h1_exc,25,5.088203,1.439308,3.077566246890562,0.870556067188168,3.1895862,0.8686664,0.2274432246708896,0.024791673065494967,2.3209198,3.6488948,2.2070101797023938,0.20265155160539464
C,h1_exc,26,4.962446,1.6182371,3.0015032305166023,0.9787801388857303,3.1067648,0.9784319,0.20981071863836084,0.026608564485019182,2.1283329,3.3442092,2.022723091630872,0.18320215415334165
C,h1_exc,27,2.7828405,1.7688913,1.6831830125139284,1.0699023488152393,1.7035649,1.0711651,0.12493756808838938,0.032957345177211966,0.6323998,1.0139492,0.6132806636986892,0.09198022291117741
C,h1_exc,28,3.6953263,1.8977324,2.2350939741325386,1.1478310494753898,2.282652,1.1506912,0.18609841488151446,0.035571588315161266,1.1319607,1.797594,1.0872629246571488,0.1505268265663532
