condition,filename,contour_type,contrast,jitter,quadrant,position,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,dice_top_activation,top_activation_percentile
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,30,0.67269206,0.9191764,0.73184216,1.2153578,1.6533203125,0.7351012165741663,0.012234978630677754,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,31,0.75576925,1.5428895,0.48984018,0.8167517,1.6533203125,0.49400694312285526,0.000502807340986757,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,32,0.75706977,0.76428515,0.9905593,1.6379676,1.6533203125,0.9907139979024446,0.023464342579381993,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,33,2.1839936,1.777383,1.2287693,2.023894,1.6533203125,1.2241391120860547,0.08480683817976635,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,34,0.7006682,1.1715875,0.5980503,0.9953836,1.6533203125,0.6020512823292572,0.014246207994624782,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,35,0.9763527,1.6197076,0.60279566,1.0032024,1.6533203125,0.6067804433913575,0.016760244699558568,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,36,8.207203,1.1766962,6.974785,10.494848,1.6533203125,6.347740427864228,0.20615100980457038,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,37,3.1018825,2.2536051,1.376409,2.2615707,1.6533203125,1.3678962638302523,0.05011313165168012,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,38,1.1818419,1.5560349,0.7595214,1.2607447,1.6533203125,0.7625531929521665,0.009553339478748384,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,39,0.8122868,1.4197338,0.5721402,0.95267016,1.6533203125,0.5762163229900774,0.001005614681973514,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,40,3.7458532,2.0544984,1.8232446,2.9739292,1.6533203125,1.7987616351905233,0.09653900946945734,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,41,2.5968711,1.2430372,2.0891337,3.3929121,1.6533203125,2.052180756055106,0.14933378027306685,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,42,0.7997764,1.2194664,0.65584123,1.0905209,1.6533203125,0.6595944197405512,0.002011229363947028,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,43,1.9442197,0.738751,2.6317658,4.23685,1.6533203125,2.562630923476763,0.19575965809084406,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,44,0.40866336,0.63174456,0.6468807,1.0757816,1.6533203125,0.6506794655250545,0.0,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,45,6.598756,3.1464374,2.097215,3.405589,1.6533203125,2.059848329057681,0.15553507081190351,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,46,1.5697342,1.0881279,1.4426008,2.3677552,1.6533203125,1.4321212546740718,0.10290790245528961,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,47,2.6458306,1.8129383,1.4594157,2.3946922,1.6533203125,1.4484139279917994,0.0819575965808414,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,48,4.3166323,1.8380048,2.3485425,3.7982087,1.6533203125,2.2973217360494242,0.18402748680115308,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,49,1.0270019,2.1488273,0.47793597,0.797061,1.6533203125,0.4820971564004615,0.0033520489399117134,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,50,1.0900689,1.4566172,0.74835646,1.2424419,1.6533203125,0.7514828649448851,0.00737450766780577,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,51,1.5440812,0.6919334,2.231546,3.6158369,1.6533203125,2.1870153106700165,0.1789994133912855,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,52,2.1398048,3.280831,0.6522143,1.0845551,1.6533203125,0.6559860991960734,0.004357298474941883,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,53,3.5205765,1.4734148,2.3893995,3.8617342,1.6533203125,2.335744682555434,0.1672672421015945,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,54,2.8235505,1.4384793,1.9628718,3.1944032,1.6533203125,1.9321138971479055,0.12117656917780845,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,55,2.675831,2.1267366,1.2581863,2.0713434,1.6533203125,1.252838541779937,0.03385569429310831,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,56,0.3426351,0.6622163,0.5174066,0.8623192,1.6533203125,0.5215681194342063,0.006033688091841084,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,57,3.8792565,1.4235551,2.7250483,4.3804455,1.6533203125,2.6494838421407474,0.22542529120906274,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,58,5.0174813,2.1323533,2.3530254,3.8051832,1.6533203125,2.30154019184383,0.22425207408009362,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,59,0.39601994,0.89927596,0.44037643,0.7348828,1.6533203125,0.4444890454486273,0.0033520489399117134,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,60,2.799371,1.6715996,1.6746659,2.7382162,1.6533203125,1.656192163408132,0.10206133735536947,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,61,13.212419,2.6702228,4.9480586,7.6794567,1.6533203125,4.64486924058567,0.2492248386824359,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,62,5.814819,2.1744456,2.6741614,4.3021646,1.6533203125,2.6021361354166426,0.21888879577623488,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,63,2.165904,2.0120044,1.0764908,1.7775359,1.6533203125,1.0751309901561776,0.040224587278940564,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,64,6.064267,2.177286,2.7852416,4.472876,1.6533203125,2.705389881838782,0.20782703427452623,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,65,3.9511695,2.421191,1.6319115,2.6701758,1.6533203125,1.6150383893843072,0.11262884438103357,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,66,1.0100938,0.93112344,1.0848119,1.7910302,1.6533203125,1.083292901054463,0.06653817145724751,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,67,2.0454366,1.2552651,1.6294857,2.6663125,1.6533203125,1.612701676647407,0.1255237137589027,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,68,1.6889898,1.3707178,1.2321937,2.0294201,1.6533203125,1.2274815169130031,0.06285091762334463,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,69,1.4210713,0.7232446,1.9648557,3.1975284,1.6533203125,1.934004148354724,0.161401156456749,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,70,1.3524435,0.9837732,1.3747513,2.2589083,1.6533203125,1.3662859163152583,0.11279644682802915,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,71,2.1268544,1.3888214,1.5314096,2.509859,1.6533203125,1.5180718768930561,0.13961283834732285,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,72,16.256153,3.8545642,4.2173777,6.620508,1.6533203125,4.004371145670549,0.23129137685390824,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,73,0.71732587,0.8694254,0.8250574,1.3680412,1.6533203125,0.8274507602095197,0.019609486298483525,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,74,1.4977573,0.68305,2.1927493,3.5552087,1.6533203125,2.150344754510762,0.16492080784365631,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,75,1.8625323,0.94213426,1.9769287,3.2165442,1.6533203125,1.945505724167467,0.16173636135074018,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,76,3.781448,0.87992823,4.2974505,6.7377386,1.6533203125,4.075277196814331,0.19659767032582198,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,77,2.0525377,1.0667716,1.9240648,3.1332269,1.6533203125,1.8951118115772623,0.19693287521981317,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,78,12.530227,3.4036021,3.6814604,5.828249,1.6533203125,3.5251783325618278,0.2384982820747184,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,79,1.9819483,1.2439933,1.5932146,2.6085105,1.6533203125,1.577740537470577,0.15285343165997414,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,80,9.597623,3.656181,2.6250403,4.226479,1.6533203125,2.556358254343852,0.23246459398287733,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,81,0.9537986,1.0825282,0.88108426,1.4595841,1.6533203125,0.8828199212652755,0.04609067292378606,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,82,2.364706,2.1855824,1.081957,1.7864009,1.6533203125,1.0804929267977348,0.03687253833902885,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,83,2.9769976,1.7064872,1.744518,2.8491762,1.6533203125,1.7233055988409485,0.14330009218122575,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,84,3.7787352,1.2152354,3.1094677,4.9676914,1.6533203125,3.0046757146232257,0.17715578647433405,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,85,0.7835919,0.5772296,1.3575047,2.2312024,1.6533203125,1.3495281789036955,0.08011396966388995,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,86,0.96611637,2.3248289,0.4155645,0.6937648,1.6533203125,0.41961911212989533,0.00016760244699558569,90
