bias_condition,contour_type,layer,channel,n_images,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_area_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation,rank_mean_contour_enrichment
C_bias,C,h1_exc,0,25,4.95854,0.10992615,7.688042,0.1570656,1.6533203125,4.650061922738256,0.0950001058172098,0.2321092767952467,0.0020282047562983603,5
C_bias,C,h1_exc,1,25,1.9826765,0.018788872,3.2253766,0.029602481,1.6533203125,1.9508480459197082,0.01790486764065586,0.20970346823992597,0.0018117611273049008,45
C_bias,C,h1_exc,2,25,2.2101796,0.031872842,3.581839,0.04980127,1.6533203125,2.1664519271005065,0.030121974416320065,0.17623062096691844,0.004393913945891375,39
C_bias,C,h1_exc,3,25,0.9505092,0.018618405,1.5725588,0.030346058,1.6533203125,0.9511518592333609,0.018354615132037087,0.02523416374908633,0.0019697498575980124,94
C_bias,C,h1_exc,4,25,0.60866255,0.007855901,1.0128268,0.012938608,1.6533203125,0.6126017018469927,0.007825832692376267,0.0,0.0,115
C_bias,C,h1_exc,5,25,0.7200973,0.0087600555,1.1960363,0.014378104,1.6533203125,0.723414748582425,0.008696502459113844,0.0034727109046934425,0.00035256580132886464,108
C_bias,C,h1_exc,6,25,2.655283,0.051477235,4.2715135,0.07932056,1.6533203125,2.583597247229527,0.04797652052315465,0.20431408698549877,0.002760331060615245,28
C_bias,C,h1_exc,7,25,2.8458197,0.027242504,4.5652804,0.041749023,1.6533203125,2.7612800358126064,0.025251623923811726,0.21894842483384774,0.0019997151733421085,21
C_bias,C,h1_exc,8,25,1.4083679,0.027460977,2.3123915,0.044007406,1.6533203125,1.3986348777215987,0.026617590980588225,0.05865415235057516,0.0022629946957552194,72
C_bias,C,h1_exc,9,25,0.70551443,0.0072478387,1.1721139,0.011900999,1.6533203125,0.7089454322290822,0.007198241163350539,0.007870610910912703,0.0005902271934525237,111
