contour_type,contour_quadrant,n_images,n_match,proportion_match,mean_TL,mean_TR,mean_BL,mean_BR
C,BL,6,6,1.0,2.140708565711975,2.0848719278971353,2.471345901489258,2.097259799639384
C,BR,6,5,0.8333333333333334,2.194186011950175,2.0460219383239746,2.2473482688268027,2.293069044748942
C,TL,6,6,1.0,2.4039573669433594,2.0589361985524497,2.2181285619735718,2.1075881719589233
C,TR,6,0,0.0,2.1872047185897827,2.186728278795878,2.2897788286209106,2.1155232985814414
straight,BL,6,6,1.0,2.249112844467163,2.0337584217389426,2.4046446482340493,2.104130188624064
straight,BR,6,2,0.3333333333333333,2.1816351413726807,2.084874669710795,2.2540565729141235,2.2425293922424316
straight,TL,6,2,0.3333333333333333,2.2944831053415933,2.0685479243596396,2.2809105714162192,2.146512746810913
straight,TR,6,1,0.16666666666666666,2.1881980498631797,2.2104291518529258,2.2400548458099365,2.1482726335525513
