contour_type,contour_quadrant,condition,bias_strength,n_images,n_match,proportion_match,mean_TL,mean_TR,mean_BL,mean_BR
C,BL,C_bias,0.25,6,6,1.0,2.5085755586624146,2.4468335707982383,2.873763640721639,2.466868201891581
C,BR,C_bias,0.25,6,5,0.8333333333333334,2.571688691775004,2.400607387224833,2.623136321703593,2.682493567466736
C,TL,C_bias,0.25,6,6,1.0,2.792382081349691,2.418548266092936,2.6013687451680503,2.4757221142450967
C,TR,C_bias,0.25,6,0,0.0,2.5580153465270996,2.5626978079477944,2.676620046297709,2.481703201929728
straight,BL,straight_bias,0.25,6,6,1.0,2.6319296757380166,2.508204380671183,2.736200491587321,2.5216076374053955
straight,BR,straight_bias,0.25,6,1,0.16666666666666666,2.605970859527588,2.4606411854426065,2.7154503663380942,2.6160436868667603
straight,TL,straight_bias,0.25,6,4,0.6666666666666666,2.71942667166392,2.4542495012283325,2.7021469672520957,2.528635104497274
straight,TR,straight_bias,0.25,6,0,0.0,2.6127492984135947,2.585488478342692,2.7110113302866616,2.5087992350260415
