filename,path,contour_type,contour_quadrant,contrast,position,jitter,stimulus_id,condition,bias_strength,mean_activation_TL,mean_activation_TR,mean_activation_BL,mean_activation_BR,highest_activation_quadrant,matches_contour_quadrant
straight_BL_0_J000_002.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_BL_0_J000_002.png,straight,BL,NA,0,0,2,straight_bias,0.25,2.6475844383239746,2.3726837635040283,2.8515994548797607,2.5529115200042725,BL,yes
straight_BL_0_J000_003.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_BL_0_J000_003.png,straight,BL,NA,0,0,3,straight_bias,0.25,2.6461615562438965,2.385460615158081,2.837181329727173,2.537454128265381,BL,yes
straight_BL_0_J000_004.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_BL_0_J000_004.png,straight,BL,NA,0,0,4,straight_bias,0.25,2.66221022605896,2.4677817821502686,2.7837138175964355,2.46274995803833,BL,yes
straight_BL_0_J000_005.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_BL_0_J000_005.png,straight,BL,NA,0,0,5,straight_bias,0.25,2.6712260246276855,2.461721897125244,2.7841124534606934,2.495485782623291,BL,yes
straight_BR_0_J000_000.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_BR_0_J000_000.png,straight,BR,NA,0,0,0,straight_bias,0.25,2.5992109775543213,2.4861109256744385,2.608830690383911,2.675105571746826,BR,yes
straight_BR_0_J000_001.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_BR_0_J000_001.png,straight,BR,NA,0,0,1,straight_bias,0.25,2.5360453128814697,2.489492893218994,2.641247272491455,2.686506509780884,BR,yes
straight_BR_0_J000_002.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_BR_0_J000_002.png,straight,BR,NA,0,0,2,straight_bias,0.25,2.5128977298736572,2.4387009143829346,2.695525884628296,2.6370253562927246,BL,no
straight_BR_0_J000_003.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_BR_0_J000_003.png,straight,BR,NA,0,0,3,straight_bias,0.25,2.579378128051758,2.523678779602051,2.6737349033355713,2.639439582824707,BL,no
straight_BR_0_J000_004.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_BR_0_J000_004.png,straight,BR,NA,0,0,4,straight_bias,0.25,2.561656951904297,2.4555745124816895,2.722288131713867,2.633580446243286,BL,no
straight_BR_0_J000_005.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_BR_0_J000_005.png,straight,BR,NA,0,0,5,straight_bias,0.25,2.6673102378845215,2.447352886199951,2.64418363571167,2.600094795227051,TL,no
straight_TL_0_J000_000.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_TL_0_J000_000.png,straight,TL,NA,0,0,0,straight_bias,0.25,2.6901001930236816,2.4798238277435303,2.687067747116089,2.5895607471466064,TL,yes
straight_TL_0_J000_001.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_TL_0_J000_001.png,straight,TL,NA,0,0,1,straight_bias,0.25,2.7058823108673096,2.4533135890960693,2.7109458446502686,2.522852897644043,BL,no
straight_TL_0_J000_002.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_TL_0_J000_002.png,straight,TL,NA,0,0,2,straight_bias,0.25,2.7356066703796387,2.438930034637451,2.6769258975982666,2.5108482837677,TL,yes
straight_TL_0_J000_003.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_TL_0_J000_003.png,straight,TL,NA,0,0,3,straight_bias,0.25,2.688568115234375,2.4618711471557617,2.696594715118408,2.5638294219970703,BL,no
straight_TL_0_J000_004.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_TL_0_J000_004.png,straight,TL,NA,0,0,4,straight_bias,0.25,2.7269716262817383,2.4305944442749023,2.7553720474243164,2.5041215419769287,BL,no
straight_TL_0_J000_005.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_TL_0_J000_005.png,straight,TL,NA,0,0,5,straight_bias,0.25,2.7283060550689697,2.4825198650360107,2.6319243907928467,2.5296742916107178,TL,yes
straight_TR_0_J000_000.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_TR_0_J000_000.png,straight,TR,NA,0,0,0,straight_bias,0.25,2.581723213195801,2.6191811561584473,2.6147687435150146,2.5813968181610107,TR,yes
straight_TR_0_J000_001.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_TR_0_J000_001.png,straight,TR,NA,0,0,1,straight_bias,0.25,2.5393195152282715,2.6354169845581055,2.596158027648926,2.6241464614868164,TR,yes
straight_TR_0_J000_002.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_TR_0_J000_002.png,straight,TR,NA,0,0,2,straight_bias,0.25,2.5648698806762695,2.631246566772461,2.6737987995147705,2.499589204788208,BL,no
straight_TR_0_J000_003.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_TR_0_J000_003.png,straight,TR,NA,0,0,3,straight_bias,0.25,2.686440944671631,2.5628764629364014,2.668865919113159,2.48640775680542,TL,no
straight_TR_0_J000_004.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_TR_0_J000_004.png,straight,TR,NA,0,0,4,straight_bias,0.25,2.6015939712524414,2.616602659225464,2.68534779548645,2.484259605407715,BL,no
straight_TR_0_J000_005.png,/home/yentl/pytorch_gammanet/Images_quad_final/straight_TR_0_J000_005.png,straight,TR,NA,0,0,5,straight_bias,0.25,2.5619242191314697,2.6216890811920166,2.6493215560913086,2.5823001861572266,BL,no
