contour_type,contour_quadrant,condition,bias_strength,n_images,n_match,proportion_match,mean_TL,mean_TR,mean_BL,mean_BR
C,BL,C_bias,0.25,6,6,1.0,2.5085755586624146,2.4468335707982383,2.873763640721639,2.466868201891581
C,BR,C_bias,0.25,6,5,0.8333333333333334,2.571688691775004,2.400607387224833,2.623136321703593,2.682493567466736
C,TL,C_bias,0.25,6,6,1.0,2.792382081349691,2.418548266092936,2.6013687451680503,2.4757221142450967
C,TR,C_bias,0.25,6,0,0.0,2.5580153465270996,2.5626978079477944,2.676620046297709,2.481703201929728
straight,BL,straight_bias,0.25,6,6,1.0,2.6596118211746216,2.415475924809774,2.8241217931111655,2.494393229484558
straight,BR,straight_bias,0.25,6,2,0.3333333333333333,2.576083223025004,2.4734851519266763,2.6643017530441284,2.645292043685913
straight,TL,straight_bias,0.25,6,3,0.5,2.7125724951426187,2.457842151323954,2.6931384404500327,2.536814530690511
straight,TR,straight_bias,0.25,6,2,0.3333333333333333,2.589311957359314,2.6145021518071494,2.648043473561605,2.5430166721343994
