contour_type,layer,n_channels,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_area_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation
C,h1_exc,23,3.4088552,0.28586048,5.3778853,0.4219965,1.6533203125,3.252778715575145,0.25524182385333494,0.20336006470894824,0.006791172656279686
C,td_h1_exc,20,2.745525,0.31197637,4.366616,0.47567785,1.6533203125,2.64111909119459,0.2877106402683058,0.17291544456534574,0.018275233276111334
straight,h1_exc,23,4.4143996,0.41557592,3.5279253,0.31482366,0.8271484375000001,4.265165898641993,0.38061325763939985,0.12736420641476193,0.0036706416371182324
straight,td_h1_exc,24,3.569726,0.35749668,2.8728678,0.27589497,0.8271484375000001,3.4732192639316644,0.3335495091016131,0.12599591112703226,0.003811429350268628
