filename,contour_type,contrast,jitter,quadrant,position,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,dice_top_activation,top_activation_percentile,rank,mean_activation,mean_abs_activation,max_activation
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,29,18.158741,4.4947634,4.039977,6.359732,1.6533203125,3.8466424591061026,0.24905723623544032,90,1,5.676290512084961,5.676290512084961,41.77796936035156
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,25,12.801694,4.126707,3.102157,4.9565916,1.6533203125,2.9979620637852147,0.2187211933292393,90,2,5.094890594482422,5.094890594482422,34.772823333740234
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,7,11.632118,4.232444,2.748322,4.416205,1.6533203125,2.671112711343211,0.19877650213676462,90,4,4.584315776824951,4.584315776824951,28.954574584960938
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,23,10.885768,3.603419,3.0209553,4.833119,1.6533203125,2.9232804132290955,0.19089918712797208,90,5,4.502274036407471,4.502274036407471,31.19719886779785
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,78,11.502665,3.3739915,3.4092157,5.420611,1.6533203125,3.2786211062216006,0.21587195173031434,90,6,4.492697715759277,4.492697715759277,29.388458251953125
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,80,8.6753845,3.703469,2.3425024,3.788811,1.6533203125,2.291637571278356,0.21939160311722164,90,9,4.386438369750977,4.386438369750977,16.711566925048828
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,92,8.570839,3.1492577,2.7215426,4.3750567,1.6533203125,2.6462244999240467,0.21134668566143353,90,14,3.7947793006896973,3.7947793006896973,24.36182403564453
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,72,15.029374,3.8186297,3.935803,6.2059183,1.6533203125,3.7536091630983712,0.22324645939812013,90,7,4.487730026245117,4.487730026245117,38.79279327392578
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,28,6.863042,3.1006718,2.213405,3.587497,1.6533203125,2.169874129715661,0.1733009301934356,90,16,3.5082831382751465,3.5082831382751465,16.631629943847656
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,61,12.954086,2.704425,4.7899594,7.45237,1.6533203125,4.507517427421306,0.2529120925163388,90,24,3.0584404468536377,3.0584404468536377,29.796859741210938
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,13,11.679131,1.8103434,6.4513345,9.784284,1.6533203125,5.9179600618503185,0.24319115059059482,90,35,2.559133529663086,2.559133529663086,43.78397750854492
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,58,4.9021673,2.0353253,2.4085424,3.8914688,1.6533203125,2.353729468145118,0.22056482024619076,90,37,2.530055046081543,2.530055046081543,10.576884269714355
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,62,5.4329147,2.131385,2.5490067,4.109091,1.6533203125,2.485356738880654,0.21821838598825255,90,38,2.5113744735717773,2.5113744735717773,17.3598575592041
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,90,4.309964,1.5717176,2.7422001,4.4068003,1.6533203125,2.6654243646004456,0.1707868934885018,90,41,2.448103666305542,2.448103666305542,19.00162696838379
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,0,8.001434,1.7505286,4.5708675,7.1358247,1.6533203125,4.316056957152881,0.22307885695112453,90,43,2.389777183532715,2.389777183532715,31.704055786132812
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,99,5.7092633,1.2168305,4.6919136,7.3109794,1.6533203125,4.421998125110744,0.18989357244599855,90,62,1.9388489723205566,1.9388489723205566,28.418643951416016
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,36,7.639557,1.1381646,6.712172,10.139765,1.6533203125,6.132970512595028,0.20648621469856154,90,78,1.787288784980774,1.787288784980774,39.91283416748047
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,76,3.6685634,0.8600727,4.265411,6.690867,1.6533203125,4.046927178065987,0.20430738288761893,90,102,1.3437559604644775,1.3437559604644775,16.859769821166992
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,16,2.8639605,1.5220932,1.8815935,3.066185,1.6533203125,1.8545619719487805,0.156540685493877,90,44,2.3770904541015625,2.3770904541015625,11.220342636108398
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,120,1.0925511,0.61331254,1.7813938,2.9076505,1.6533203125,1.758673398713783,0.14464091175719043,90,113,1.1382129192352295,1.1382129192352295,5.169285297393799
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,105,7.100786,1.8589303,3.8198237,6.0340796,1.6533203125,3.6496736110837817,0.23481102824081554,90,30,2.8533129692077637,2.8533129692077637,28.38812828063965
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,87,4.2544284,1.6681596,2.5503726,4.111202,1.6533203125,2.4866335381013718,0.18453029414213984,90,53,2.229494094848633,2.229494094848633,14.851741790771484
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,67,2.0725837,1.2521645,1.6552008,2.7072508,1.6533203125,1.6374629868564703,0.12670744992866276,90,57,2.1475844383239746,2.1475844383239746,10.40425968170166
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,29,9.705755,2.8798106,3.3702755,5.3620167,1.6533203125,3.24318077077072,0.25324729741033,90,1,3.562081813812256,3.562081813812256,22.925941467285156
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,23,8.048469,2.5969133,3.099244,4.952167,1.6533203125,2.9952858903112953,0.17564736445137377,90,2,2.9497313499450684,2.9497313499450684,26.288991928100586
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,7,8.004011,2.5107136,3.1879427,5.0866866,1.6533203125,3.076649177991059,0.21570434928331877,90,4,2.669651985168457,2.669651985168457,21.891035079956055
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,78,7.450698,1.9185203,3.8835647,6.1285977,1.6533203125,3.706842317822318,0.22274365205713337,90,5,2.39316463470459,2.39316463470459,20.803455352783203
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,92,5.838689,2.1270044,2.745029,4.411147,1.6533203125,2.66805352694426,0.21503393949533642,90,6,2.2806060314178467,2.2806060314178467,13.916828155517578
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,25,6.89281,1.7482871,3.9426076,6.2159815,1.6533203125,3.759695806593748,0.22257604961013777,90,8,2.131653070449829,2.131653070449829,19.075847625732422
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,105,4.0911336,1.5037255,2.7206652,4.373707,1.6533203125,2.645408006001785,0.21955920556421724,90,11,2.032456398010254,2.032456398010254,9.441346168518066
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,61,9.6050415,1.8170782,5.285981,8.161116,1.6533203125,4.936197502261274,0.2607894075251313,90,12,2.0017471313476562,2.0017471313476562,22.691272735595703
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,80,4.7247705,1.8362257,2.5730882,4.146301,1.6533203125,2.507862956903859,0.23414061845283318,90,13,1.9337495565414429,1.9337495565414429,9.616158485412598
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,72,8.364123,1.4337585,5.8337045,8.93123,1.6533203125,5.401995892643864,0.22760412302000535,90,16,1.6746333837509155,1.6746333837509155,21.99262237548828
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,1,2.5544577,1.2468194,2.0487792,3.3295548,1.6533203125,2.0138594747230973,0.21000586608546884,90,32,1.299087405204773,1.299087405204773,5.196395397186279
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,58,1.7702831,0.9816373,1.8033984,2.9425104,1.6533203125,1.7797581789779393,0.19374842872689704,90,41,1.1974271535873413,1.1974271535873413,4.286971569061279
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,48,3.2460868,0.90061265,3.6043096,5.713086,1.6533203125,3.4555228351612204,0.2046425877816101,90,44,1.0356993675231934,1.0356993675231934,15.57629680633545
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,17,0.6543165,0.59904194,1.0922716,1.8031241,1.6533203125,1.0906078184782861,0.03016844045920542,90,57,0.9031758308410645,0.9031758308410645,6.837369918823242
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,53,1.9680045,0.6358574,3.0950406,4.945783,1.6533203125,2.9914246325821394,0.1825190647781928,90,64,0.7915949821472168,0.7915949821472168,8.125388145446777
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,31,0.32343125,0.45859686,0.7052627,1.1717349,1.6533203125,0.7087162198024562,0.012905388418660096,90,93,0.565671980381012,0.565671980381012,2.812095880508423
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,118,1.0902869,0.4313615,2.5275478,4.075908,1.6533203125,2.4652864472677005,0.2069890220395483,90,96,0.5535036325454712,0.5535036325454712,2.444171905517578
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,46,0.6989107,0.40951073,1.706697,2.789129,1.6533203125,1.6869864725101202,0.11061761501708654,90,104,0.5029887557029724,0.5029887557029724,2.9926559925079346
C_high_BL_0_J000_008.png,C,high,0,BL,0,td_h1_exc,106,0.31849518,0.43808228,0.7270214,1.2074487,1.6533203125,0.7303174735711306,0.01592223246458064,90,105,0.4950638711452484,0.4950638711452484,3.69461989402771
