filename,contour_type,contrast,jitter,quadrant,position,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,dice_top_activation,top_activation_percentile,mask_dilation_pixels,rank,mean_activation,mean_abs_activation,max_activation
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,29,5.2731442,4.199264,1.2557306,54.236065,48.5537109375,1.1170323308455838,0.21021031037872376,90,3,1,5.676290512084961,5.676290512084961,41.77796936035156
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,25,4.61147,3.947985,1.1680567,52.43491,48.5537109375,1.0799361943158843,0.19339882252869572,90,3,2,5.094890594482422,5.094890594482422,34.772823333740234
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,7,4.2707744,4.43407,0.9631725,47.617046,48.5537109375,0.9807086920233219,0.1629113227371766,90,3,4,4.584315776824951,4.584315776824951,28.954574584960938
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,23,3.6312678,3.8111677,0.95279664,47.346962,48.5537109375,0.9751461021443413,0.15904201204153523,90,3,5,4.502274036407471,4.502274036407471,31.19719886779785
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,78,3.64088,3.383339,1.0761204,50.38736,48.5537109375,1.0377653661452018,0.1787554829132943,90,3,6,4.492697715759277,4.492697715759277,29.388458251953125
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,80,4.060418,3.5263703,1.1514441,52.077526,48.5537109375,1.072575609078357,0.19890258343197872,90,3,9,4.386438369750977,4.386438369750977,16.711566925048828
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,92,3.099787,3.3701785,0.9197694,46.46839,48.5537109375,0.9570512842716022,0.14886839340213331,90,3,14,3.7947793006896973,3.7947793006896973,24.36182403564453
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,72,3.9886613,4.018436,0.9925905,48.367954,48.5537109375,0.996174201935863,0.16594673026565387,90,3,7,4.487730026245117,4.487730026245117,38.79279327392578
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,28,3.0215816,3.296225,0.9166794,46.38469,48.5537109375,0.9553273771640107,0.12732033556261324,90,3,16,3.5082831382751465,3.5082831382751465,16.631629943847656
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,61,3.1011255,2.659421,1.1660905,52.392895,48.5537109375,1.0790708624006982,0.19339882252869572,90,3,24,3.0584404468536377,3.0584404468536377,29.796859741210938
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,13,2.2304688,1.7309911,1.28855,54.8757,48.5537109375,1.1302061332373274,0.19446621858266575,90,3,35,2.559133529663086,2.559133529663086,43.78397750854492
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,58,2.2275755,1.9460155,1.1446854,51.93059,48.5537109375,1.0695493829380682,0.22058406577824505,90,3,37,2.530055046081543,2.530055046081543,10.576884269714355
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,62,2.0789704,2.2869534,0.9090567,46.177097,48.5537109375,0.9510518644081987,0.1522707183241628,90,3,38,2.5113744735717773,2.5113744735717773,17.3598575592041
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,90,1.6808419,1.5567276,1.0797276,50.47101,48.5537109375,1.0394881733211778,0.16924898680762368,90,3,41,2.448103666305542,2.448103666305542,19.00162696838379
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,0,1.8364804,1.8702933,0.9819211,48.098114,48.5537109375,0.9906166403156959,0.17465267933084697,90,3,43,2.389777183532715,2.389777183532715,31.704055786132812
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,99,1.2053652,1.3720235,0.87853104,45.329353,48.5537109375,0.9335919427772083,0.14509915108655164,90,3,62,1.9388489723205566,1.9388489723205566,28.418643951416016
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,36,1.3713682,1.1270074,1.2168227,53.453876,48.5537109375,1.1009225752725629,0.20320552377454543,90,3,78,1.787288784980774,1.787288784980774,39.91283416748047
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,76,1.114585,0.7101262,1.5695591,59.69871,48.5537109375,1.2295396217976933,0.22602111442815492,90,3,102,1.3437559604644775,1.3437559604644775,16.859769821166992
C_high_BL_0_J000_008.png,C,high,0,BL,0,h1_exc,16,1.7270743,1.3717602,1.2590204,54.301,48.5537109375,1.1183696905568876,0.2734201704497618,90,3,44,2.3770904541015625,2.3770904541015625,11.220342636108398
