contour_type,true_contour_quadrant,n_images,n_match,proportion_match,enrichment_TL,enrichment_TR,enrichment_BL,enrichment_BR,mean_highest_enrichment,mean_true_quadrant_enrichment
C,BL,6,6,1.0,0.960495825916586,0.8954961966468522,1.850322661403772,0.9159081882404084,1.850322661403772,1.850322661403772
C,BR,6,6,1.0,1.0423817996487674,0.8575856306306844,1.0739888135896718,1.777634736044697,1.777634736044697,1.777634736044697
C,TL,6,6,1.0,1.7863120890478819,0.8915685918804158,1.0200136670237483,0.9133612105600019,1.7863120890478819,1.7863120890478819
C,TR,6,6,1.0,1.011104246015015,1.5416323269142647,1.1246366346973076,0.9029824337234923,1.5416323269142647,1.5416323269142647
straight,BL,6,6,1.0,1.0256378365428216,0.9207870138429805,1.8176552565561528,0.9202664081163615,1.8176552565561528,1.8176552565561528
straight,BR,6,6,1.0,0.9752918256998049,0.9322102340348696,1.0562491042429765,1.812148789436893,1.812148789436893,1.812148789436893
straight,TL,6,6,1.0,1.6094584054491234,0.9276565020434003,1.0390294450486266,0.9524946933567556,1.6094584054491234,1.6094584054491234
straight,TR,6,6,1.0,1.0154830466957028,1.8124237572125221,0.9797545705643409,0.9425022769781943,1.8124237572125221,1.8124237572125221
