channel,C,straight,C_minus_straight_enrichment,channel_class
36,6.194523079318863,3.838971867904024,2.3555512114148387,C_channel
76,4.013922296029938,2.9668527551172033,1.047069540912735,C_channel
13,6.441779623618533,5.635639955018206,0.806139668600327,C_channel
51,1.9585724591279345,1.186613602417372,0.7719588567105626,C_channel
48,2.324930213344781,1.609093371397479,0.715836841947302,C_channel
78,3.4559212357420948,2.7484261907613523,0.7074950449807424,C_channel
29,4.154205296418156,3.447212852408031,0.7069924440101247,C_channel
26,3.0015032305166023,2.3663148603381767,0.6351883701784256,C_channel
23,3.2798123278808164,2.6569103639456757,0.6229019639351407,C_channel
64,2.7165913708990574,2.1495412548198907,0.5670501160791668,C_channel
92,2.938089369134799,2.3978666834883056,0.5402226856464933,C_channel
105,3.64740015283188,3.203572104680249,0.44382804815163057,C_channel
43,2.5633328371427773,2.120179756410843,0.44315308073193416,C_channel
74,2.2672754980445062,1.82587810015851,0.4413973978859962,C_channel
97,1.8220949145458496,1.3940174281040938,0.4280774864417558,C_channel
16,2.0624457372577853,1.6473494113256912,0.4150963259320941,C_channel
67,1.613248240159311,1.203774644514541,0.4094735956447699,C_channel
19,1.4486882364939058,1.0442437250386367,0.40444451145526905,C_channel
69,2.0386521410675296,1.6351399186401394,0.40351222242739015,C_channel
75,1.9270093363492615,1.5247352576095685,0.402274078739693,C_channel
87,2.4094121617133752,2.0183245598393373,0.3910876018740379,C_channel
60,1.5534777586653945,1.2022371840798742,0.35124057458552027,C_channel
54,2.203895426994011,1.8775043066901336,0.3263911203038774,C_channel
18,1.6786877851802935,1.3551502266619084,0.32353755851838506,C_channel
2,2.054541793446688,1.7522064595248665,0.3023353339218213,C_channel
65,1.6773171021370485,1.3880330168580037,0.2892840852790448,C_channel
22,2.225382685982476,1.9403661586548409,0.28501652732763505,C_channel
71,1.558411637336453,1.280465494684071,0.27794614265238193,C_channel
0,4.382116847202967,4.104303368464133,0.27781347873883444,C_channel
115,1.2424532784189108,0.9691289394991819,0.27332433891972896,C_channel
90,2.546562132734837,2.2763451094981266,0.2702170232367105,C_channel
35,0.6711705947180637,0.40194103272965104,0.2692295619884127,C_channel
109,1.3575157275393024,1.097370427904134,0.2601452996351683,C_channel
102,1.76496662584273,1.5059607255949965,0.2590059002477334,C_channel
127,1.0548318235584524,0.7991204672518522,0.25571135630660025,C_channel
46,1.4239557905419036,1.1713334807796796,0.252622309762224,C_channel
27,1.6831830125139284,1.432709078891672,0.25047393362225634,C_channel
120,1.7624707501471795,1.521152567482612,0.2413181826645674,C_channel
57,2.5157752819630606,2.275126833382026,0.24064844858103474,C_channel
58,2.2657317217506834,2.0265139125572578,0.2392178091934256,C_channel
121,2.213625011991276,1.9799431059977213,0.23368190599355465,C_channel
95,1.0041691630464384,0.7742070120898333,0.2299621509566051,C_channel
37,1.2589504155431763,1.0394041459529237,0.21954626959025259,C_channel
8,1.3436060224495565,1.133363999105087,0.2102420233444695,C_channel
73,0.8286987557396632,0.6249214595830221,0.20377729615664109,C_channel
77,1.912211017072259,1.724404748743619,0.1878062683286401,C_channel
21,3.464948191811979,3.28165520493902,0.1832929868729587,C_channel
45,2.09663385194505,1.9153056339891765,0.18132821795587328,C_channel
93,1.7855340933239108,1.6070185306472167,0.1785155626766941,C_channel
123,2.0240760142729397,1.8636869909167297,0.16038902335620997,C_channel
126,0.9466683125792921,0.7865896630248411,0.16007864955445095,C_channel
119,1.19693363265632,1.0389266925039475,0.1580069401523725,C_channel
55,1.2672526416862937,1.1297563040206777,0.13749633766561598,C_channel
38,0.7641485834290792,0.6372657369158892,0.12688284651319004,C_channel
70,1.3813269629977625,1.2689977628920015,0.11232920010576097,C_channel
113,0.38968340796309325,0.27859881536014014,0.11108459260295311,C_channel
122,1.0410862969092742,0.9321695283969776,0.10891676851229659,C_channel
82,1.25128506042766,1.144202975116867,0.107082085310793,C_channel
117,1.2910203990597022,1.1856882172225014,0.10533218183720083,C_channel
3,0.9795212390686001,0.8892704007887718,0.09025083827982827,C_channel
80,2.4184980922365353,2.347355205165977,0.07114288707055838,C_channel
104,0.7213851800357447,0.6555785275302547,0.06580665250549,C_channel
61,4.515577327051381,4.46479029062048,0.050787036430900656,C_channel
6,2.477864877908174,2.428984772231783,0.048880105676390784,C_channel
17,0.97594658195422,0.92865205869334,0.04729452326088002,C_channel
108,1.4143478172815733,1.3709680658578502,0.04337975142372308,C_channel
116,0.8695354728582881,0.8375886587510679,0.03194681410722022,C_channel
32,0.9846182117517038,0.9540531523207223,0.030565059430981534,C_channel
5,0.804088922313684,0.7748145561719215,0.029274366141762487,C_channel
56,0.5808335687213426,0.5562483041794035,0.0245852645419391,C_channel
42,0.6440474756157435,0.6298766091320296,0.014170866483713906,C_channel
49,0.5135639265512473,0.5002375237564443,0.013326402794803016,C_channel
98,0.41040639864548933,0.3982519238097073,0.012154474835782025,C_channel
96,0.5360483925533939,0.5299584205087153,0.006089972044678538,C_channel
44,0.6764183534378919,0.6745899566558574,0.0018283967820345026,C_channel
79,1.5854146055078144,1.584014540508785,0.001400064999029338,C_channel
107,0.44923455657800176,0.4483794629003105,0.0008550936776912654,C_channel
111,0.9302051503699125,0.9379606736606789,-0.007755523290766453,straight_channel
72,3.8478123152161263,3.857770819745633,-0.009958504529506751,straight_channel
91,1.435386763135936,1.4456562596171174,-0.010269496481181362,straight_channel
124,0.3687925313059115,0.3817679467823855,-0.012975415476474017,straight_channel
1,1.9991627167918335,2.0139661395481685,-0.01480342275633495,straight_channel
83,1.7669696691523809,1.78195975607244,-0.014990086920059209,straight_channel
11,0.7777563790035217,0.7964285978301643,-0.018672218826642606,straight_channel
125,1.4547560755372404,1.475553740370076,-0.020797664832835627,straight_channel
100,0.7170113481301632,0.7383597090809211,-0.021348360950757872,straight_channel
14,1.6447134644226282,1.667934083196257,-0.0232206187736288,straight_channel
7,2.7612413078705784,2.7862718380864235,-0.025030530215845115,straight_channel
86,0.45088259375239575,0.4848769913639317,-0.03399439761153594,straight_channel
106,0.5524745457553186,0.5935892404900632,-0.041114694734744606,straight_channel
101,1.142489347808607,1.1877252867955348,-0.045235938986927904,straight_channel
88,1.2533036837449694,1.2994910649418079,-0.04618738119683852,straight_channel
30,0.7433021553627944,0.8129144873403991,-0.06961233197760464,straight_channel
15,0.9796075607326528,1.049815968113426,-0.07020840738077327,straight_channel
25,3.077566246890562,3.148920474124178,-0.07135422723361629,straight_channel
33,1.2630277456554762,1.3362261116770742,-0.07319836602159802,straight_channel
59,0.45629459292133767,0.5303934202959224,-0.07409882737458473,straight_channel
39,0.6012821672621984,0.6755431067213523,-0.07426093945915391,straight_channel
20,3.1859265326165755,3.2633862630756925,-0.07745973045911692,straight_channel
31,0.5008366710745689,0.5845960583770683,-0.08375938730249943,straight_channel
103,0.5518561114546624,0.6452752240026827,-0.09341911254802027,straight_channel
81,0.9463749112133024,1.0448089754330352,-0.09843406421973278,straight_channel
114,0.9487867465824639,1.0519253892065776,-0.10313864262411376,straight_channel
118,2.7875652507396382,2.897245989545101,-0.10968073880546259,straight_channel
4,0.6331609784318851,0.747297460896014,-0.11413648246412889,straight_channel
10,1.0752167032712454,1.196823828413694,-0.12160712514244865,straight_channel
62,2.607898857805001,2.735081153059275,-0.12718229525427427,straight_channel
12,1.6657071584591163,1.798505866455711,-0.13279870799659466,straight_channel
52,0.6605467830391138,0.807763615990703,-0.14721683295158916,straight_channel
40,1.7599010929344288,1.9140786010937396,-0.15417750815931086,straight_channel
34,0.6418026667540812,0.7977619097214201,-0.15595924296733898,straight_channel
110,1.4476228027750841,1.6306488928080345,-0.18302609003295034,straight_channel
89,1.8871846621494266,2.0743637334995753,-0.18717907135014866,straight_channel
66,1.0955769035827925,1.2850916741127196,-0.18951477052992716,straight_channel
9,0.7064019080132573,0.8967278274160723,-0.19032591940281496,straight_channel
68,1.2749414619892052,1.4794041118092847,-0.20446264982007945,straight_channel
85,1.3749094534382322,1.5841526716408958,-0.20924321820266356,straight_channel
28,2.2350939741325386,2.4497410660241603,-0.21464709189162168,straight_channel
24,1.512805511283297,1.7347567146566893,-0.22195120337339236,straight_channel
50,0.7184323157779109,0.9771243603966531,-0.2586920446187422,straight_channel
63,0.9788870791123059,1.249187368448062,-0.2703002893357562,straight_channel
112,0.9162537784214774,1.2117925338435218,-0.29553875542204444,straight_channel
47,1.4329711005416426,1.730978939742946,-0.29800783920130347,straight_channel
53,2.4175411994300076,2.859236840063653,-0.4416956406336454,straight_channel
94,1.7434848812886679,2.193089479417002,-0.4496045981283343,straight_channel
99,4.406932909515953,4.869872227041774,-0.4629393175258212,straight_channel
41,2.050469072155609,2.7102704416100414,-0.6598013694544322,straight_channel
84,2.730064380083663,3.659780592376147,-0.929716212292484,straight_channel
